movie_id,studio
tt0938283,Paramount Pictures
tt0389790,Paramount Pictures
tt0436339,Walt Disney Studios Motion Pictures
tt0397892,Walt Disney Studios Motion Pictures
tt1646987,Warner Bros.
tt0442933,Paramount Pictures
tt1077368,Warner Bros.
tt2334879,Columbia Pictures
tt0780653,Universal Pictures
tt2034800,Universal Pictures
tt3332064,Warner Bros.
tt1305591,Walt Disney Studios Motion Pictures
tt6304710,
tt0424095,Paramount Pictures
tt1277953,Paramount Pictures
tt1229238,Paramount Pictures
tt1646971,Twentieth Century Fox
tt0120855,Buena Vista Pictures
tt0864835,Twentieth Century Fox
tt1446192,Paramount Pictures
tt0318649,Paramount Pictures
tt1289401,Columbia Pictures
tt0246460,Mayer Distributing Corporation
tt0796366,Paramount Pictures
tt0120591,Buena Vista Pictures
tt0458339,Paramount Pictures
tt2267968,Twentieth Century Fox
tt0122151,Warner Bros.
tt1583421,Paramount Pictures
tt0325710,Warner Bros.
tt0369441,Columbia Pictures
tt1528100,Twentieth Century Fox
tt3691740,Walt Disney Studios Motion Pictures
tt1025100,Paramount Pictures
tt2404233,Lionsgate
tt1745960,Paramount Pictures
tt0145487,Columbia Pictures
tt0409459,Warner Bros.
tt0382992,Columbia Pictures
tt0800080,Universal Pictures
tt0286716,Universal Pictures
tt0173840,Columbia Pictures
tt1673434,Lionsgate
tt0481499,Twentieth Century Fox
tt1663202,Twentieth Century Fox
tt0143145,Mayer Distributing Corporation
tt1192628,Paramount Pictures
tt0311113,Twentieth Century Fox
tt1860353,Twentieth Century Fox
tt3949660,Paramount Pictures
tt1402488,Warner Bros.
tt0430357,Universal Pictures
tt5523010,Walt Disney Studios Motion Pictures
tt0407304,Paramount Pictures
tt1911658,Twentieth Century Fox
tt1951264,Lionsgate
tt0304141,Warner Bros.
tt0440963,Universal Pictures
tt5095030,Walt Disney Studios Motion Pictures
tt0441773,Paramount Pictures
tt0478970,Walt Disney Studios Motion Pictures
tt2224026,Twentieth Century Fox
tt5028340,Walt Disney Studios Motion Pictures
tt0448694,Paramount Pictures
tt1001526,Paramount Pictures
tt0172156,Columbia Pictures
tt2357291,Twentieth Century Fox
tt0944835,Columbia Pictures
tt1959490,Paramount Pictures
tt0983193,Paramount Pictures
tt1815862,Columbia Pictures
tt0455824,Twentieth Century Fox
tt0790736,Universal Pictures
tt2386490,Universal Pictures
tt1324999,Summit Entertainment
tt0130623,Buena Vista Pictures
tt3315342,Twentieth Century Fox
tt2692250,Twentieth Century Fox
tt1951265,Lionsgate
tt0241527,Warner Bros.
tt7975244,Columbia Pictures
tt0382625,Columbia Pictures
tt1596343,Universal Pictures
tt1291150,Paramount Pictures
tt1515091,Warner Bros.
tt0319262,Twentieth Century Fox
tt3874544,Twentieth Century Fox
tt0800320,Warner Bros.
tt1679335,Twentieth Century Fox
tt0120685,TriStar Pictures
tt1446714,Twentieth Century Fox
tt1194173,Universal Pictures
tt0118688,Warner Bros.
tt5758778,Universal Pictures
tt1386703,Columbia Pictures
tt2094766,Twentieth Century Fox
tt3095734,Paramount Pictures
tt0120657,Buena Vista Pictures Distribution
tt7504726,Walt Disney Studios Motion Pictures
tt0170016,Universal Pictures
tt0177971,Warner Bros.
tt4196776,Universal Pictures
tt0454876,Fox 2000 Pictures
tt0259324,Sony Pictures Entertainment
tt2231461,Warner Bros.
