movie_id,reviews_users,reviews_critics
tt1018765,73,134
tt0119485,128,73
tt0455538,104,137
tt0395119,86,33
tt0478311,.,.
tt0086034,251,91
tt1078588,205,147
tt0494652,43,74
tt1710396,75,96
tt0087892,100,46
tt0465551,294,223
tt0804522,211,135
tt1521197,146,290
tt1219289,465,387
tt0102975,206,79
tt8350360,685,221
tt0119468,.,.
tt0080455,.,.
tt0110213,.,.
tt1018785,36,72
tt2241351,206,333
tt0276751,.,.
tt0139414,388,164
tt0425210,537,196
tt0086197,189,88
tt1772232,.,.
tt0118929,667,244
tt0864761,152,190
tt0373908,71,42
tt0089908,.,.
tt0120769,40,64
tt0324127,143,108
tt0415965,108,112
tt0155711,.,.
tt5449004,.,.
tt0486674,117,132
tt0340376,53,43
tt0073822,.,.
tt1114740,234,169
tt0322330,281,133
tt0405422,573,188
tt0138097,775,128
tt0099938,.,.
tt0910936,414,230
tt0107818,296,83
tt0120631,362,94
tt0099582,.,.
tt0316356,.,.
tt0421239,690,220
tt1598822,158,204
tt0075784,.,.
tt1980209,311,346
tt0309593,486,185
tt0190590,896,99
tt0385267,216,139
tt1038686,359,229
tt1212450,317,362
tt0157472,93,65
tt0090022,178,55
tt0765010,233,217
tt1972779,140,91
tt0358349,48,58
tt0218922,187,91
tt1486192,218,271
tt0361925,97,84
tt4909080,.,.
tt0385887,222,148
tt0256524,178,92
tt1837703,119,225
tt1747958,51,93
tt1137470,34,60
tt0116322,32,24
tt0387131,586,224
tt1175491,338,236
tt0335345,2816,396
tt0107614,267,57
tt0095953,413,110
tt1454029,534,391
tt4846340,470,422
tt1205489,961,371
tt0968311,.,.
tt1408253,125,153
tt0103855,145,57
tt0108052,1681,223
tt0333780,297,137
tt0331632,166,103
tt0357413,605,166
tt0329101,893,294
tt0398808,550,188
tt0268397,127,63
tt1060277,2302,467
tt0989757,223,165
tt0103060,99,80
tt1047540,120,140
tt0094226,480,147
tt0477348,1748,532
tt0243155,585,96
tt0241303,520,154
tt1411238,204,246
tt1524137,176,270
tt1753383,411,142
tt1327194,130,171
tt0108358,.,.
tt0165929,368,71
tt0466909,563,238
tt0414982,583,223
tt1787759,37,31
tt0308644,653,233
tt2180290,2,.
tt0382077,457,170
tt0090859,265,110
tt0852713,143,131
tt0313911,.,.
tt0099685,1190,140
tt0435651,334,205
tt0086250,971,176
tt0119807,.,.
tt0093389,159,84
tt3530002,145,169
tt0106400,68,20
tt0274558,669,168
tt0119695,45,32
tt0469494,1244,425
tt0282120,.,.
tt0337711,37,40
tt0403508,228,90
tt0279493,.,.
tt1322269,311,316
tt0271027,256,121
tt1647668,108,152
tt0388500,.,.
tt0286788,209,71
tt0388146,1,.
tt6850820,680,167
tt0452625,165,128
tt0306685,191,107
tt0454945,285,85
tt2039393,178,180
tt0453451,.,.
tt4824302,104,129
tt0144120,316,109
tt3401882,152,122
tt0426931,385,151
tt0366174,159,48
tt1366344,124,145
tt0127536,425,146
tt0066473,182,86
tt2223990,150,166
tt0111161,7299,224
tt0498381,220,207
tt1153706,56,84
tt0231402,124,75
tt0116778,.,.
tt0396652,83,68
tt0480255,214,215
tt1082601,96,121
tt0472062,311,277
tt0391304,167,112
tt0124718,120,52
tt1034389,208,213
tt2872750,119,238
tt1633356,148,238
tt0493405,197,120
tt0272338,922,280
tt0356150,334,87
tt1966359,98,58
tt0963794,386,223
tt2193215,481,344
tt0488658,64,78
tt2328900,488,220
tt0094799,.,.
tt0297162,139,63
tt0091224,.,.
tt0115472,22,20
tt0388980,118,86
tt0362478,432,293
tt0156841,162,85
tt0872230,145,161
tt0265208,536,117
tt0486321,31,73
tt0117011,82,54
tt0265808,85,51
tt0787475,181,108
tt1291584,635,335
tt0145653,167,87
tt4622512,170,277
tt1792647,43,76
tt2006295,90,129
tt0089489,219,166
tt1867009,2,.
tt0289408,76,50
tt0090728,385,218
tt0117039,97,41
tt0489281,103,145
tt0107007,285,22
tt0267248,165,73
tt0999913,152,195
tt0120620,189,47
tt0256276,174,97
tt0117104,55,19
tt0102984,77,39
tt6476140,541,170
tt0898367,563,369
tt1226837,290,218
tt1266072,.,.
tt5968394,318,89
tt0088103,.,.
tt0373416,27,33
tt0239949,89,86
tt0412080,259,126
tt0800240,111,99
tt0114614,192,76
tt0388183,21,23
tt0861689,321,223
tt5314190,46,47
tt1692486,201,382
tt0491203,98,102
tt3569230,250,282
tt1095217,223,286
tt2140037,89,155
tt0428251,108,87
tt0373450,134,101
tt0119934,62,27
tt0337692,140,252
tt1125929,18,48
tt7178988,.,.
tt5932728,230,55
tt1233301,116,94
tt1946381,.,.
tt0066549,.,.
tt0271454,.,.
tt2071441,6,23
tt0092007,245,87
tt0120082,513,205
tt1620981,242,148
tt0302886,404,119
tt0479143,1005,298
tt2239832,41,53
tt2671706,369,322
tt0190138,.,.
tt1068242,138,160
tt2568862,162,185
tt0102685,337,119
tt0101889,190,96
tt0130018,419,132
tt0465494,394,198
tt0064418,120,32
tt0122459,.,.
tt1234548,290,266
tt1007028,260,248
tt0238948,.,.
tt0172493,409,55
tt0171580,260,158
tt0464154,398,383
tt1433108,177,199
tt0078504,160,37
tt0335559,146,83
tt0158811,108,73
tt0217756,101,55
tt1100089,327,459
tt1742650,73,162
tt0196857,.,.
tt1833673,410,45
tt0363473,254,87
tt0120645,.,.
tt5929776,.,.
tt1156398,693,483
tt0120484,328,88
tt0102510,100,52
tt6966692,1306,388
tt0112442,248,84
tt0884732,123,124
tt0195714,715,154
tt0074751,225,102
tt1124035,301,435
tt0134847,815,129
tt5580266,318,161
tt0244970,164,53
tt2785390,186,42
