movie_id,reviews_users,reviews_critics
tt0120857,.,.
tt0076451,.,.
tt0325136,4,.
tt0109504,.,.
tt0770772,59,98
tt2637294,111,113
tt0415306,470,164
tt0192111,106,61
tt1663143,38,77
tt0404203,330,257
tt0176783,112,67
tt0120613,115,44
tt0437232,61,110
tt2473794,184,269
tt0218619,185,67
tt0113463,.,.
tt0817177,137,90
tt0077296,.,.
tt0362582,.,.
tt0981072,36,56
tt0466893,124,122
tt0388795,2311,304
tt0112697,289,103
tt1106860,43,28
tt0100758,212,125
tt0049833,272,67
tt0297884,385,189
tt1931533,335,411
tt0180073,312,134
tt0083678,.,.
tt1096959,.,.
tt0182000,.,.
tt0427498,.,.
tt2011159,96,59
tt0093105,148,67
tt0947798,1236,689
tt0206275,325,91
tt1702443,237,85
tt6133466,541,215
tt4257926,106,71
tt0184907,100,35
tt0289879,1156,185
tt0071562,893,172
tt4052882,498,402
tt0093870,508,269
tt0095742,289,132
tt0937375,33,36
tt1826590,45,93
tt0242423,.,.
tt0096487,132,43
tt2170593,210,270
tt2183034,160,115
tt0147800,604,129
tt0241760,161,47
tt0107659,75,24
tt0118665,185,50
tt0120609,177,59
tt0099253,.,.
tt0116493,.,.
tt0884328,1167,360
tt5262674,.,.
tt0120601,867,260
tt0269341,33,39
tt5916886,.,.
tt1814621,96,152
tt1659337,567,380
tt0250224,.,.
tt0120577,191,68
tt3170832,594,474
tt4183692,54,19
tt0498380,.,.
tt0120654,.,.
tt3863552,303,56
tt0120531,22,22
tt0111127,119,65
tt0144168,212,88
tt0172726,39,39
tt0258470,186,47
tt0346621,1,1
tt7545524,120,154
tt0416185,62,107
tt1691864,4,.
tt3312830,159,318
tt0116269,19,22
tt1524575,77,104
tt0419749,111,101
tt0104215,25,24
tt0420609,108,129
tt1478964,339,413
tt3802576,55,33
tt0218378,94,73
tt2404639,49,112
tt1714209,153,112
tt0954947,185,226
tt4878482,261,63
tt2395459,.,.
tt1911644,308,289
tt4939066,38,35
tt1600196,246,302
tt0305396,107,62
tt0985694,405,407
tt0168786,163,118
tt0283530,145,83
tt0108399,515,147
tt1232783,132,174
tt0104348,395,123
tt0083722,.,.
tt0079753,.,.
tt1244754,109,183
tt0805564,335,230
tt1723611,.,.
tt0168629,709,132
tt1194417,50,114
tt0119843,.,.
tt0116378,.,.
tt0473102,34,40
tt1496422,162,250
tt5091538,2,9
tt0095489,.,.
tt0073195,1159,290
tt0070047,1196,276
tt2582846,647,332
tt0163651,795,157
tt1621045,70,77
tt1929263,176,88
tt0091129,.,.
tt0084726,393,108
tt0303714,.,.
tt0086567,.,.
tt0109040,275,79
tt1591479,368,218
tt0090329,202,99
tt0462590,283,100
tt1706593,507,425
tt0115641,155,63
tt0066206,281,120
tt1636826,287,231
tt5027774,1106,571
tt3741834,508,373
tt1563742,395,78
tt0119396,512,167
tt0086619,.,.
tt0481536,181,157
tt2431286,256,353
tt0081633,195,146
tt0275022,574,117
tt3622592,193,202
tt1082868,402,201
tt0265459,612,212
tt0406759,154,172
tt0359517,51,44
tt0278488,.,.
tt0054331,312,123
tt0479884,462,175
tt0104940,177,78
tt2582782,420,315
tt0120679,283,129
tt2215719,50,65
tt2784678,101,164
tt0128442,310,133
tt0061452,.,.
tt0079758,.,.
tt2436386,229,184
tt1407061,37,67
tt0164181,384,175
tt0114608,119,78
tt0077269,.,.
tt0365885,225,124
tt0429591,150,67
tt1821549,306,446
tt0332712,16,32
tt0273799,.,.
tt1625346,234,340
tt2194499,598,274
tt7125860,269,266
tt5322012,143,139
tt0120722,90,24
tt1084950,302,234
tt0082934,57,41
tt0335119,303,151
tt5615904,.,.
tt0385004,429,256
tt0279781,.,.
tt5301662,89,80
tt1042877,92,85
tt1764183,161,292
tt0053580,125,42
tt0156323,.,.
tt0439289,193,136
tt1566501,71,45
tt0470765,154,119
tt0120533,162,76
tt0339034,307,62
tt0091276,.,.
tt0116414,29,33
tt0199626,361,122
tt1404600,.,.
tt1427984,.,.
tt0082958,.,.
tt0129332,323,141
tt0238924,120,79
tt1682180,268,455
tt1416801,87,83
tt0361715,45,37
tt1730687,25,60
tt0279550,.,.
tt0271259,91,68
tt0118901,15,25
tt0399095,100,68
tt0120618,.,.
tt2624790,.,.
tt1486193,69,76
tt3453052,28,2
tt1809334,.,.
tt2968804,42,39
tt2598580,13,5
tt1014762,49,26
tt2910904,148,141
tt0167423,22,30
tt2402927,327,451
tt0098084,338,116
tt1860213,268,187
tt1034302,29,35
tt1210106,29,11
tt0087363,307,237
tt0059113,293,97
tt0964517,427,411
tt0101921,189,56
tt0493430,197,106
tt0104952,248,53
tt1355630,165,150
tt0097815,.,.
tt0281358,995,79
tt0112818,.,.
tt0139134,759,99
tt2381111,301,297
tt0416212,118,100
tt2404425,185,211
tt0082517,143,48
tt5580036,431,421
tt1233227,209,166
tt0250310,105,61
tt6513120,315,189
tt0105217,98,71
tt0072684,435,104
tt1441951,141,179
tt0253798,93,36
tt0213790,84,60
tt0246989,127,74
tt2042568,372,530
tt0360772,.,.
tt2651324,1,.
tt0362269,208,192
tt1699755,32,41
tt0108550,.,.
tt7008872,174,182
tt4832640,152,39
tt0240900,106,64
tt0377992,82,25
tt0383694,170,171
tt0114057,49,30
tt0114113,.,.
tt0066090,.,.
tt0102782,44,13
tt6986684,.,.
tt0424908,95,79
tt3547740,36,100
tt1592873,124,55
tt3658772,87,48
tt5294518,502,39
tt1132626,283,166
tt0449999,272,23
tt0078748,1378,455
tt0084516,378,250
tt0122541,136,104
tt0287733,39,23
tt1709143,195,130
tt0083866,577,250
tt0062622,2054,254
tt0419843,82,81
tt0108320,.,.
tt0313300,28,18
tt0085873,.,.
tt1573072,43,10
tt0473700,112,40
tt1502407,1714,478
tt0119217,821,182
tt0391198,915,212
tt0083131,.,.
tt0489270,644,220
tt4094724,233,290
tt6857166,295,140
tt0204946,.,.
tt5726086,227,193
tt0160862,406,77
tt0890870,342,203
tt0455612,148,46
tt0375210,393,176
tt0090863,137,67
tt3195644,239,193
tt0104868,54,31
tt4925292,661,454
tt5173200,.,.
tt7784604,2914,457
tt5164432,517,253
tt0096928,222,99
tt0056197,228,53
tt0116483,311,69
tt3348730,318,200
tt0263488,1016,204
tt0090060,167,46
tt0063385,.,.
tt0265632,.,.
tt0089530,221,131
tt0076538,93,53
tt3882082,324,206
tt0088944,.,.
tt5001718,121,101
tt1314655,342,275
tt0293815,68,25
tt2555736,119,164
tt0089461,125,69
tt4795124,52,29
tt0104692,120,70
tt0981227,156,168
tt0337909,142,70
tt0120655,1024,190
tt5690360,601,130
tt0280460,151,93
tt0208092,799,169
tt0098206,.,.
tt7424200,204,111
tt1389139,40,38
tt0086491,.,.
tt0110399,29,9
tt2515086,72,83
tt0283026,215,86
tt0424993,164,87
tt2752772,183,207
tt3387542,206,220
tt1220198,361,184
tt0086066,345,68
tt0127723,256,82
tt1876451,49,81
tt4669186,40,34
tt3379694,.,.
tt1564585,992,228
tt3521126,374,378
tt1540011,323,358
tt0085407,218,94
tt0242998,370,139
tt0420087,281,207
tt0499554,78,88
tt2473510,128,137
tt0846308,28,72
tt0089348,99,68
tt0403455,75,49
tt0128445,657,189
tt0100814,.,.
tt0380623,.,.
tt0100168,35,29
tt0240468,518,57
tt4196450,128,249
tt0295700,551,202
tt0081071,.,.
tt0142192,137,94
tt1092633,73,81
tt1655420,231,393
tt1126590,177,342
tt0412019,528,236
tt0314166,49,34
tt0365485,238,191
tt0119572,32,18
tt0219699,341,149
tt0192071,178,61
tt0151804,645,126
tt0157503,335,74
tt4807408,76,58
tt0124198,489,110
tt0368975,.,.
tt4595882,238,235
tt0086984,196,110
tt1470023,152,144
tt0785007,55,100
tt0166110,.,.
tt1307068,263,271
tt0454970,230,149
tt2582500,81,112
tt1477837,90,215
tt1748227,121,150
tt0120586,1536,169
tt0166896,.,.
tt0231448,.,.
tt0082507,.,.
tt1772288,122,151
tt1156320,1,.
tt0204193,3,.
tt10798734,.,.
tt0279286,78,45
tt1801552,264,55
tt4645330,108,163
tt1472584,98,40
tt2937696,156,275
tt0115964,.,.
tt0165854,258,117
tt2752688,43,134
tt0200720,180,99
tt0093483,.,.
tt0438315,190,46
tt1411664,77,49
tt3850544,12,14
tt0215545,181,59
tt0083113,21,3
