movie_id,reviews_users,reviews_critics
tt0995039,171,209
tt3168230,209,303
tt1951266,440,423
tt1273678,82,101
tt0425430,206,186
tt1368440,88,42
tt0897361,280,145
tt5197544,82,18
tt0780653,461,375
tt5286444,111,43
tt2488778,35,86
tt2370248,160,266
tt1300851,195,86
tt0844671,80,41
tt5478478,401,184
tt6905696,126,50
tt2239832,41,53
tt0401815,.,.
tt2403021,277,324
tt5962210,141,158
tt0884328,1167,360
tt1119646,696,346
tt2097331,38,72
tt3659388,1255,617
tt0817230,232,191
tt0411477,372,363
tt4048272,130,322
tt0962726,178,131
tt0804497,179,161
tt5742374,620,342
tt4572792,139,121
tt6452574,361,36
tt6225520,96,126
tt1407084,53,72
tt5628302,77,133
tt1212450,317,362
tt5461944,361,160
tt1951261,303,332
tt0343996,170,51
tt0482599,150,129
tt0494834,58,68
tt2024469,438,377
tt0405469,166,105
tt5997666,219,30
tt3203528,210,83
tt1473832,135,189
tt2905838,153,33
tt3062976,41,105
tt0825232,356,202
tt1601913,837,420
tt1462041,166,183
tt3416742,315,306
tt2515034,149,236
tt0091875,.,.
tt2543472,410,230
tt0473075,472,312
tt1298644,489,133
tt1878870,253,207
tt3390572,238,54
tt7343762,500,168
tt0470752,834,415
tt2891174,107,211
tt1336006,46,78
tt0370986,253,145
tt1306980,422,336
tt4481514,178,98
tt0978764,999,452
tt0420293,88,87
tt0376479,58,147
tt6511932,281,113
tt1720616,106,167
tt5882970,123,28
tt3735246,202,45
tt0097790,.,.
tt1951265,596,427
tt1932767,94,174
tt0452694,263,217
tt1327194,130,171
tt1161864,214,272
tt1578275,146,186
tt0435625,1201,358
tt1144884,314,226
tt1655442,642,585
tt6806448,1137,294
tt0870211,40,49
tt1213663,473,448
tt0808399,79,137
tt5814060,1698,259
tt6173990,247,15
tt4073790,456,135
tt0401792,1769,382
tt1648190,753,347
tt0407121,33,45
tt1287468,65,93
tt0808151,490,198
tt2062700,100,167
tt0397101,395,198
tt1320239,61,136
tt6053438,312,250
tt6971752,39,17
tt2039393,178,180
tt0427392,300,236
tt1870529,40,100
tt2932536,409,256
tt6212478,185,181
tt4824302,104,129
tt1488555,170,218
tt1078588,205,147
tt1731141,616,336
tt1298649,225,269
tt2624412,54,73
tt2395469,406,39
tt1093908,141,168
tt1924435,176,135
tt3859980,128,30
tt0811138,279,146
tt2582500,81,112
tt4126438,43,86
tt0790712,93,219
tt1748227,121,150
tt2935476,152,235
tt1838544,132,161
tt1046947,122,161
tt5083738,1156,425
tt0113537,75,43
tt1530983,66,90
tt3859304,63,67
tt1232200,240,159
tt0810819,270,344
tt0356910,811,234
tt0455326,76,81
tt2226597,303,167
tt1182937,144,29
tt2012011,66,34
tt2339741,139,184
tt1987680,728,144
tt0457939,551,168
tt3499096,98,157
tt0393735,87,80
tt0435651,334,205
tt6040662,107,117
tt1130080,202,257
tt1457767,1025,558
tt0821640,123,148
tt1517260,397,282
tt0462338,74,143
tt1270761,269,304
tt0450405,193,165
tt0444682,192,190
tt1615160,372,166
tt0865556,290,216
tt1730768,98,148
tt0844479,228,156
tt0976051,416,294
tt1781922,298,214
tt0087538,275,103
tt1853643,24,41
tt1763264,.,.
tt0359950,625,376
