movie_id,reviews_users,reviews_critics
tt0497383,1,.
tt1602613,544,460
tt1675192,265,342
tt0092076,278,149
tt0095484,86,175
tt0446687,72,64
tt1498887,13,68
tt4255584,.,.
tt0389831,.,.
tt2082197,236,62
tt0364961,202,150
tt0977662,.,.
tt0087928,.,.
tt0109831,232,100
tt0080453,158,41
tt0083929,268,136
tt0117589,152,56
tt0307901,466,217
tt0088680,213,108
tt0049513,.,.
tt3464902,603,421
tt0115736,220,130
tt0180093,2058,248
tt0056526,39,20
tt0144640,.,.
tt0091886,.,.
tt0246578,2250,367
tt1629705,53,108
tt1881002,251,279
tt1785279,.,.
tt1578715,.,.
tt0857190,110,112
tt2295722,52,37
tt2081194,17,47
tt3683702,7,9
tt3346224,31,40
tt2118624,118,161
tt3702088,6,2
tt0073486,898,167
tt0075222,.,.
tt3700852,.,.
tt0403261,.,.
tt1532957,.,.
tt0100258,220,114
tt1313092,170,261
tt1507261,9,10
tt0475293,747,63
tt0046183,113,134
tt0104036,.,.
tt0335266,1931,282
tt0075686,525,147
tt3181822,158,270
tt0044672,.,.
tt0113627,.,.
tt0285742,526,155
tt1065073,961,576
tt0053804,84,25
tt0842926,306,319
tt0079470,376,144
tt2828996,55,70
tt6107548,263,172
tt2034139,75,163
tt0071524,.,.
tt0049875,.,.
tt0089907,324,233
tt0096256,397,200
tt0195234,.,.
tt0057115,344,102
tt1878841,115,78
tt0457513,251,177
tt0290332,35,27
tt0199290,.,.
tt0969307,.,.
tt0318374,217,142
tt0055184,.,.
tt0448075,165,127
tt0110189,.,.
tt1158755,.,.
tt1108828,.,.
tt0292644,417,139
tt0065112,.,.
tt0454987,.,.
tt0113101,192,59
tt0274812,417,171
tt0360916,62,49
tt0096219,.,.
tt0188863,86,44
tt2911094,.,.
tt0796375,78,126
tt1645080,83,122
tt0318761,95,119
tt0873886,305,285
tt0366780,152,117
tt0092615,.,.
tt2076220,130,351
tt2910814,252,172
tt0126859,70,30
tt1839642,32,61
tt4226162,.,.
tt0095905,.,.
tt0206226,.,.
tt4383288,9,33
tt2403393,13,32
tt1864275,.,.
tt0218182,28,35
tt0305973,.,.
tt0119502,.,.
tt2059171,104,104
tt1719071,47,45
tt4509744,.,.
tt2372251,134,61
tt0107616,182,42
tt0068156,.,.
tt0020960,.,.
tt2573798,.,.
tt3533916,51,43
tt2414822,.,.
tt2395247,.,.
tt4340720,25,13
tt0031381,821,186
tt0060665,186,75
tt0016641,.,.
tt0074958,385,169
tt0059418,.,.
tt0072251,.,.
tt0042200,.,.
tt1341167,169,249
tt3205376,131,267
tt0065446,69,41
tt0040694,.,.
tt0464049,182,120
tt0450340,.,.
tt0064665,377,120
tt0080339,472,160
tt0119164,189,89
tt6772950,393,206
tt0107554,112,32
tt0113118,176,24
tt5664126,.,.
tt1072748,199,199
tt5726616,842,466
tt0262396,.,.
tt2387433,240,257
tt4103724,104,37
tt0092796,136,123
tt0061809,.,.
tt0053131,93,28
tt0068611,218,87
tt0060490,.,.
tt0131436,.,.
tt0117628,101,42
tt0081617,123,94
tt0120684,235,65
tt0092991,582,287
tt0088993,440,203
tt0258038,.,.
tt8151874,104,108
tt4700756,8,8
tt3721936,183,206
tt7048386,6,2
