,title,prd_mthd
196,Pan,live action
197,Mars Needs Moms,digital animation
198,Moonfall,live action
199,Flushed Away,digital animation
200,Madagascar 3: Europe's Most Wanted,digital animation
201,Mission: Impossible - Ghost Protocol,live action
202,How to Train Your Dragon 2,digital animation
203,Tarzan,hand animation
204,Mr. Peabody & Sherman,digital animation
205,Rise of the Guardians,digital animation
206,Sahara,live action
207,Ghostbusters,animation/live action
208,Die Another Day,live action
209,Star Trek,live action
210,Armageddon,live action
211,Captain America: The First Avenger,live action
212,Kung Fu Panda 3,digital animation
213,Lethal Weapon 4,live action
214,G.I. Joe: Retaliation,animation/live action
215,The Last Samurai,live action
216,Fun with Dick and Jane,live action
217,Exodus: Gods and Kings,live action
218,The BFG,animation/live action
219,Gemini Man,animation/live action
220,Gods of Egypt,live action
221,Top Gun: Maverick,live action
222,Spider-Man,live action
223,Watchmen,live action
224,Stealth,live action
225,The Incredible Hulk,live action
226,Hulk,live action
227,Final Fantasy: The Spirits Within,digital animation
228,The Twilight Saga: Breaking Dawn - Part 2,live action
229,The Croods,digital animation
230,The Revenant,live action
231,The World is Not Enough,live action
232,Rango,digital animation
233,Master and Commander: The Far Side of the World,live action
234,Turbo,digital animation
235,Teenage Mutant Ninja Turtles: Out of the Shadows,animation/live action
236,Happy Feet Two,digital animation
237,Miami Vice,live action
238,The Nutcracker and the Four Realms,live action
239,War of the Worlds,animation/live action
240,Penguins of Madagascar,digital animation
241,The Hunger Games: Catching Fire,live action
242,Harry Potter and the Prisoner of Azkaban,animation/live action
243,The Bourne Ultimatum,live action
244,Ant-Man and the Wasp,animation/live action
245,Kung Fu Panda,digital animation
246,Ant-Man,live action
247,Home,digital animation
248,Mary Poppins Returns,animation/live action
249,Puss in Boots,digital animation
250,Megamind,digital animation
251,Bad Boys II,live action
252,Rio 2,digital animation
253,Salt,live action
254,Noah,live action
255,The Adventures of Tintin,digital animation
256,After Earth,live action
257,Australia,live action
258,R.I.P.D.,live action
259,How to Train Your Dragon: The Hidden World,digital animation
260,The Twilight Saga: Breaking Dawn - Part 1,live action
261,Dinosaur,digital animation
262,Logan,live action
263,Night at the Museum: Secret of the Tomb,animation/live action
264,The Hunger Games: Mockingjay - Part 1,live action
265,Harry Potter and the Sorcerer's Stone,animation/live action
266,Jumanji: The Next Level,live action
267,The Da Vinci Code,live action
268,Fast Five,live action
269,Teenage Mutant Ninja Turtles,animation/live action
270,Sherlock Holmes: A Game of Shadows,live action
271,The Day After Tomorrow,live action
272,The Boss Baby,digital animation
273,Clash of the Titans,live action
274,Trolls,digital animation
275,Godzilla,live action
276,Prometheus,live action
277,The Bourne Legacy,live action
278,Batman & Robin,live action
279,Skyscraper,live action
280,Total Recall,live action
281,Assassin's Creed,live action
282,Monster Trucks,animation/live action
283,The 13th Warrior,live action
284,The Call of the Wild,live action
285,How the Grinch Stole Christmas,live action
286,The Perfect Storm,live action
287,Jason Bourne,live action
288,Life of Pi,live action
289,Ghost Rider,live action
290,Rampage,live action
291,Charlie's Angels: Full Throttle,live action
292,Elysium,live action
293,Oblivion,live action
294,Power Rangers,animation/live action
295,Stuart Little 2,live action
296,RoboCop,live action
297,The Chronicles of Riddick,live action
298,Doomed: The Untold Story of Roger Corman's the Fantastic Four,live action
299,Speed Racer,live action
300,The Island,live action
301,How Do You Know,live action
302,Knight and Day,live action
303,Venom,animation/live action
304,"Monsters, Inc.",digital animation
305,The Wolverine,live action
306,Dante's Peak,live action
307,The Huntsman: Winter's War,live action
308,Windtalkers,live action
309,Gulliver's Travels,animation/live action
310,Ferdinand,digital animation
311,Deadpool 2,animation/live action
312,Gravity,live action
313,Night at the Museum,live action
314,San Andreas,live action
315,The Smurfs,animation/live action
316,Live Free or Die Hard,live action
317,Ocean's Twelve,live action
318,Tomorrow Never Dies,live action
319,The Patriot,live action
320,300: Rise of an Empire,animation/live action
321,The Aviator,live action
322,Passengers,live action
323,The Green Hornet,live action
324,Miss Peregrine's Home for Peculiar Children,animation/live action
325,Real Steel,live action
326,Men in Black: International,animation/live action
327,The A-Team,live action
328,The Smurfs 2,animation/live action
329,The Taking of Pelham 123,live action
330,Ender's Game,live action
331,Home on the Range,hand animation
332,Speed 2: Cruise Control,live action
333,Kingdom of Heaven,live action
334,Ghost in the Shell,live action
335,Around the World in 80 Days,live action
336,The Lord of the Rings: The Fellowship of the Ring,animation/live action
337,The Cat in the Hat,live action
338,Ali,live action
339,The Martian,live action
340,Allied,live action
341,"I, Robot",animation/live action
342,Stuart Little,live action
343,The Princess and the Frog,hand animation
344,"10,000 BC",live action
345,Ice Age: Collision Course,digital animation
346,Town & Country,live action
347,Kingsman: The Golden Circle,live action
348,Gone in 60 Seconds,live action
349,Gladiator,live action
350,A Wrinkle in Time,live action
351,Public Enemies,live action
352,Casino Royale,live action
353,Minority Report,live action
354,Bumblebee,animation/live action
355,Cloud Atlas,live action
356,Harry Potter and the Chamber of Secrets,animation/live action
357,Terminator 2: Judgment Day,animation/live action
