,title,prd_mthd
1326,The Mothman Prophecies,live action
1327,Licence to Kill,live action
1328,Holmes & Watson,live action
1329,One for the Money,live action
1330,15 Minutes,live action
1331,Lord of War,live action
1332,Super Mario Bros.,live action
1333,Hero,live action
1334,Man on a Ledge,live action
1335,The Warrior's Way,live action
1336,McHale's Navy,live action
1337,Au four et au moulin: les coulisses de Micmacs à Tire-Larigot,live action
1338,8 Mile,live action
1339,Rocketman,live action
1340,A Knight's Tale,live action
1341,The Medallion,live action
1342,The Big Year,live action
1343,The Sixth Sense,live action
1344,Wedding Crashers,live action
1345,The Karate Kid,live action
1346,John Wick: Chapter 3 - Parabellum,live action
1347,Fifty Shades of Grey,live action
1348,Knives Out,live action
1349,The Proposal,live action
1350,American Hustle,live action
1351,Cheaper by the Dozen,live action
1352,Lucy,live action
1353,Lone Survivor,live action
1354,Back to the Future Part II,live action
1355,Double Jeopardy,live action
1356,Spy Kids 3-D: Game Over,live action
1357,A Time to Kill,live action
1358,A League of Their Own,live action
1359,The Social Network,live action
1360,Julie & Julia,live action
1361,He's Just Not That Into You,live action
1362,Ride Along 2,live action
1363,Scary Movie 4,live action
1364,Get Hard,live action
1365,Scream 3,live action
1366,Back to the Future Part III,live action
1367,The Accountant,live action
1368,Dumb and Dumber To,live action
1369,The Other Woman,live action
1370,Bram Stoker's Dracula,live action
1371,Eight Below,live action
1372,The Talented Mr. Ripley,live action
1373,The Intern,live action
1374,The Last of the Mohicans,live action
1375,Ray,live action
1376,Sin City,live action
1377,Bridge of Spies,live action
1378,Vantage Point,live action
1379,"I Love You, Man",live action
1380,Shallow Hal,live action
1381,JFK,live action
1382,Big Momma's House 2,live action
1383,Angel Has Fallen,Live Action
1384,The House with a Clock in Its Walls,live action
1385,Hacksaw Ridge,live action
1386,The Mexican,live action
1387,The Final Destination,live action
1388,17 Again,live action
1389,Unknown,live action
1390,Get Him to the Greek,live action
1391,Gothika,live action
1392,Behind Enemy Lines,live action
1393,The Lincoln Lawyer,live action
1394,Shall We Dance,live action
1395,Invincible,live action
1396,Escape from Planet Earth,digital animation
1397,Small Soldiers,live action
1398,Spawn,live action
1399,Horrible Bosses 2,live action
1400,The Count of Monte Cristo,live action
1401,The Prestige,live action
1402,The Lake House,live action
1403,Predators,live action
1404,The Odd Life of Timothy Green,live action
1405,The Living Daylights,live action
1406,Apocalypto,live action
1407,Music and Lyrics,live action
1408,Legal Eagles,live action
1409,Secret Window,live action
1410,The Skeleton Key,live action
1411,Jersey Boys,live action
1412,Made of Honor,live action
1413,The Rainmaker,live action
1414,Medicine Man,live action
1415,Amistad,live action
1416,A Million Ways to Die in the West,live action
1417,Final Destination 5,live action
1418,Widows,live action
1419,Fever Pitch,live action
1420,Aliens vs. Predator: Requiem,live action
1421,Starz Special: The Water Horse: Legend of the Deep,live action
1422,Sex Tape,live action
1423,Scream 4,live action
1424,Ri¢hie Ri¢h,live action
1425,Autumn in New York,live action
1426,Paul,live action
1427,The Guilt Trip,live action
1428,Colombiana,live action
1429,8MM,live action
1430,The Commuter,live action
1431,Hanging Up,live action
1432,The Doors,live action
1433,Mickey Blue Eyes,live action
1434,The Spy Who Dumped Me,live action
1435,Pay It Forward,live action
1436,Arthur,live action
1437,Drillbit Taylor,live action
1438,Patriots Day,live action
1439,The Shadow,live action
1440,Transporter 3,live action
1441,Morning Glory,live action
1442,Get Rich or Die Tryin',live action
1443,Long Shot,live action
1444,The Art of War,live action
1445,Grudge Match,live action
1446,Bless the Child,live action
1447,Rent,live action
1448,The Out-of-Towners,live action
1449,The Nut Job 2: Nutty by Nature,digital animation
1450,The Island of Dr. Moreau,live action
1451,The Musketeer,live action
1452,Resident Evil: The Final Chapter,live action
1453,The Other Boleyn Girl,live action
1454,The House,live action
1455,Sweet November,live action
1456,The Reaping,live action
1457,Season of the Witch,live action
1458,Renaissance Man,live action
1459,Quest for Camelot,hand animation
1460,City by the Sea,live action
1461,At First Sight,live action
1462,Mechanic: Resurrection,live action
1463,Torque,live action
1464,Fantastic Mr. Fox,stop-motion animation
1465,The Happytime Murders,live action
1466,Showgirls,live action
1467,City Hall,live action
1468,Big Miracle,live action
1469,The Impossible,live action
1470,A Thousand Words,live action
1471,Detroit,live action
1472,Marie Antoinette,live action
1473,Hunter Killer,live action
1474,Get Carter,live action
1475,Kiss of Death,live action
1476,Keeping Up with the Joneses,Live Action
1477,Life or Something Like It,live action
1478,Ishtar,live action
1479,Memoirs of an Invisible Man,live action
1480,Amelia,live action
1481,Cirque du Freak: The Vampire's Assistant,live action
1482,New York Minute,live action
1483,The Deep End of the Ocean,live action
1484,Alfie,live action
1485,Feardotcom,live action
1486,Soul Men,live action
1487,The Gunman,live action
1488,Pandorum,live action
1489,Duplex,live action
1490,Paranoia,live action
1491,Raise the Titanic,.
1492,The Hurricane Heist,live action
1493,The Impostor Files: The Making of 'Impostor',live action
1494,Victor Frankenstein,live action
1495,The Goldfinch,live action
1496,Extreme Ops,live action
1497,Just Visiting,live action
1498,Snowpiercer,live action
1499,Sunshine,live action
1500,The Hudsucker Proxy,live action
1501,Billy Lynn's Long Halftime Walk,live action
1502,Pirates,.
1503,Delgo,digital animation
1504,The Hunting Party,live action
1505,Alex Rider: Operation Stormbreaker,live action
1506,Red Cliff II,live action
1507,The Last Shot,live action
1508,USS Indianapolis: Men of Courage,live action
1509,Death Note,live action
1510,Timmy Failure: Mistakes Were Made,live action
1511,The Time Traveler's Wife,live action
1512,Superman III,live action
1513,Because I Said So,live action
1514,Frankenweenie,stop-motion animation
1515,Sgt. Bilko,live action
1516,Serenity,animation/live action
1517,Shoot 'Em Up,live action
1518,Against the Ropes,live action
1519,The Fast and the Furious,live action
1520,Sweet Home Alabama,live action
1521,The Ugly Truth,live action
1522,Star Trek: Generations,live action
1523,Captain Underpants: The First Epic Movie,digital animation
1524,Paul Blart: Mall Cop 2,live action
1525,Why Him?,live action
1526,Water for Elephants,live action
1527,Life as We Know It,live action
1528,The Hurricane,live action
1529,Riddick,live action
1530,Heartbreakers,live action
1531,Enough,live action
1532,The 5th Wave,live action
1533,Push,live action
1534,Rush,live action
1535,Angel Eyes,live action
1536,Joe Somebody,live action
1537,Only The Brave,live action
1538,Extreme Measures,live action
1539,The Thing,live action
1540,Rock Star,live action
1541,The Kitchen,Live Action
1542,White Squall,live action
1543,City of Ember,live action
1544,Switchback,live action
1545,The Sisters Brothers,live action
1546,Texas Rangers,live action
1547,Virgin Territory: The Making of 'The Virgin Queen',live action
1548,What to Expect When You're Expecting,live action
1549,The Master,live action
1550,The Express,live action
1551,Twilight,live action
1552,We're the Millers,live action
1553,Creed,live action
1554,The Town,live action
1555,Dolphin Tale,live action
1556,Game Night,live action
1557,Burn After Reading,live action
1558,13 Going on 30,live action
1559,Nim's Island,live action
1560,How to Be Single,live action
1561,Cop Out,live action
1562,The Rite,live action
1563,Space Chimps,digital animation
1564,Magnolia,live action
1565,Aloha,live action
1566,A Star Is Born,live action
1567,John Q,live action
1568,Blue Streak,live action
1569,Never Say Never Again,live action
1570,Hot Tub Time Machine,live action
1571,Breakdown,live action
1572,Dolphin Tale 2,live action
1573,Collateral Beauty,live action
1574,A Man Apart,live action
1575,Reindeer Games,live action
1576,Snow Falling on Cedars,live action
1577,Ghosts of Mississippi,live action
1578,Gattaca,live action
1579,Isn't She Great,live action
1580,There Be Dragons,live action
1581,Queen of the Desert,live action
1582,Head of State,live action
1583,It,live action
1584,The Hangover,live action
1585,The Blind Side,live action
1586,Batman,live action
1587,Austin Powers: The Spy Who Shagged Me,live action
1588,True Grit,live action
1589,Lethal Weapon 3,live action
1590,Rush Hour,live action
1591,Identity Thief,live action
1592,The Devil Wears Prada,live action
1593,Horrible Bosses,live action
1594,Spy Kids,live action
1595,Trainwreck,live action
1596,Saving Mr. Banks,live action
1597,Star Trek: The Motion Picture,live action
1598,21,live action
1599,What Happens in Vegas,live action
1600,Cape Fear,live action
1601,The English Patient,live action
1602,Hotel for Dogs,live action
1603,Guess Who,live action
1604,This Is 40,live action
1605,L.A. Confidential,live action
1606,Sky High,live action
1607,In & Out,live action
1608,A Nightmare on Elm Street,live action
1609,The Cell,live action
1610,Species,live action
1611,The Benchwarmers,live action
1612,Secretariat,live action
1613,The Man in the Iron Mask,live action
1614,Friends with Benefits,live action
1615,Neighbors 2: Sorority Rising,live action
1616,TMNT,digital animation
1617,Radio,live action
1618,Sicario: Day of the Soldado,live action
1619,Old Dogs,live action
1620,Malcolm X,live action
1621,Poltergeist,live action
1622,Goosebumps 2: Haunted Halloween,animation/live action
1623,12 Strong,live action
1624,Must Love Dogs,live action
1625,License to Wed,live action
1626,Donnie Brasco,live action
1627,Max Payne,live action
1628,Resident Evil,live action
1629,The Ladykillers,live action
1630,Something Borrowed,live action
1631,The Nativity Story,live action
1632,In Time,live action
1633,The Back-up Plan,live action
1634,J. Edgar,live action
1635,Bounce,live action
1636,Mile 22,live action
1637,Hot Pursuit,live action
1638,Concussion,live action
1639,The Foreigner,live action
1640,Closer,live action
1641,Street Fighter,live action
1642,Black Knight,live action
1643,The Pianist,live action
1644,House of Wax,.
1645,From Hell,live action
1646,Adrift,live action
1647,Mirrors,live action
1648,Underworld: Blood Wars,live action
1649,Queen of the Damned,live action
1650,Untraceable,live action
1651,Predator 2,live action
1652,Abduction,live action
1653,Flash Gordon,live action
1654,Superhero Movie,live action
1655,Blast from the Past,live action
1656,Alex Cross,live action
1657,Jersey Girl,live action
1658,Midnight in the Garden of Good and Evil,live action
1659,Bridget Jones's Baby,live action
1660,Heist,live action
1661,Hoffa,live action
1662,Whiskey Tango Foxtrot,live action
1663,Ella Enchanted,live action
1664,Hitman: Agent 47,live action
1665,Phantom Thread,live action
1666,The X Files: I Want to Believe,live action
1667,Premium Rush,live action
1668,Broken City,live action
1669,Valiant,digital animation
1670,Wonder Boys,live action
1671,Cursed,live action
1672,Walk Hard: The Dewey Cox Story,live action
1673,The Four Feathers,live action
1674,Furry Vengeance,live action
1675,Parker,live action
1676,Wimbledon,live action
1677,Bait,live action
1678,Lions for Lambs,live action
1679,Flight of the Intruder,live action
1680,The Tree of Life,live action
1681,American Outlaws,live action
1682,Playing for Keeps,Live Action
1683,Zoom,live action
1684,The Shipping News,live action
1685,The Young Victoria,live action
1686,Sabotage,live action
1687,Knock Off,live action
1688,Whiteout,live action
1689,Unfinished Business,live action
1690,The Walk,live action
1691,The Fountain,live action
1692,Mandela: Long Walk to Freedom,live action
1693,Punisher: War Zone,live action
1694,The Order,live action
1695,A Good Year,live action
1696,The Brothers Grimsby,live action
1697,The Snowman,live action
1698,Femme Fatale,live action
1699,Warriors of Virtue,live action
1700,Luther,live action
1701,Behind Biutiful: Director's Flip Notes,live action
1702,Radio Flyer,live action
1703,A Hologram for the King,live action
1704,Smilla's Sense of Snow,live action
1705,Playing for Keeps,Live Action
1706,Lion of the Desert,Live Action
1707,Ride with the Devil,live action
1708,Stolen,live action
1709,Trespass,live action
1710,Bandidas,live action
1711,The Lovers,live action
1712,Black Water Transit,live action
1713,The Darkest Hour,live action
1714,Baby Driver,live action
1715,The Maze Runner,live action
1716,The Longest Ride,live action
1717,The Age of Innocence,live action
1718,The Darkest Minds,live action
1719,Chill Factor,live action
1720,The Astronaut's Wife,live action
1721,I Dreamed of Africa,live action
1722,Reds,live action
1723,A Few Good Men,live action
1724,Big Momma's House,live action
1725,Exit Wounds,live action
1726,Mike and Dave Need Wedding Dates,live action
1727,Step Up Revolution,live action
1728,Snakes on a Plane,live action
1729,The Punisher,live action
1730,The Watcher,live action
1731,21 Bridges,Live Action
1732,Safe,live action
1733,Doomsday,live action
1734,Pushing Tin,live action
1735,Freaks of Nature,live action
1736,Bridesmaids,live action
1737,The Reader,live action
1738,The Big Wedding,live action
1739,Wanderlust,live action
1740,Elf,live action
1741,Phenomenon,live action
1742,This Is the End,live action
1743,Snow Dogs,live action
1744,Nacho Libre,live action
1745,Scrooged,live action
1746,Takers,live action
1747,Source Code,live action
1748,Stigmata,live action
1749,Men of Honor,live action
1750,I Feel Pretty,live action
1751,"Big Mommas: Like Father, Like Son",live action
1752,Alive,live action
1753,The Number 23,live action
1754,1941,live action
1755,Dreamer: Inspired by a True Story,live action
1756,Bombshell,live action
1757,A History of Violence,live action
1758,The Incredible Burt Wonderstone,live action
1759,The Quick and the Dead,live action
1760,Laws of Attraction,live action
1761,Bad Times at the El Royale,live action
1762,Going the Distance,live action
1763,Bringing Out the Dead,live action
1764,Repo Men,live action
1765,Dragon Wars: D-War,live action
1766,Bogus,live action
1767,Cats Don't Dance,hand animation
1768,Cradle Will Rock,live action
1769,The Good German,live action
1770,George and the Dragon,live action
1771,Apocalypse Now,live action
1772,Criminal,live action
1773,La ch'tite famille,live action
1774,42,live action
1775,Flight,live action
1776,Mr. Holland's Opus,live action
1777,Out of Africa,live action
1778,Moonraker,live action
1779,The Grand Budapest Hotel,live action
1780,Vacation,live action
1781,Arachnophobia,live action
1782,Frequency,live action
1783,Hearts in Atlantis,live action
1784,Extraordinary Measures,live action
1785,Get Shorty,live action
1786,Ghostbusters,live action
1787,Toy Story,digital animation
1788,Crazy Rich Asians,live action
1789,Chicago,live action
1790,Big Daddy,live action
1791,American Pie 2,live action
1792,The Vow,live action
1793,Speed,live action
1794,The Hunt for Red October,live action
1795,Lee Daniels' The Butler,live action
1796,Remember the Titans,live action
1797,District 9,animation/live action
1798,Dodgeball: A True Underdog Story,live action
1799,The Addams Family,live action
1800,Ace Ventura: When Nature Calls,live action
1801,The Princess Diaries,live action
1802,Analyze This,live action
1803,The First Wives Club,live action
1804,Million Dollar Baby,live action
1805,Se7en,live action
1806,Mystic River,live action
1807,Sisters,live action
1808,Up in the Air,live action
1809,The Notebook,live action
1810,Hannah Montana: The Movie,live action
1811,27 Dresses,live action
1812,Rugrats in Paris: The Movie,hand animation
1813,The Hitman's Bodyguard,live action
1814,The Prince of Tides,live action
1815,Four Brothers,live action
1816,Legends of the Fall,live action
1817,Looper,live action
1818,Warm Bodies,live action
1819,About Schmidt,live action
1820,The Nut Job,digital animation
1821,Down to Earth,live action
1822,Babe,live action
1823,Hope Springs,live action
1824,Forgetting Sarah Marshall,live action
1825,Friday Night Lights,live action
1826,Harlem Nights,live action
1827,Baby Mama,live action
1828,Hope Floats,live action
1829,Bride Wars,live action
1830,Without a Paddle,live action
1831,Midnight in Paris,live action
1832,Darkest Hour,live action
1833,Wallace & Gromit: The Curse of the Were-Rabbit,stop-motion animation
1834,P.S. I Love You,live action
1835,Corpse Bride,stop-motion animation
1836,Life of the Party,live action
1837,Letters to Juliet,live action
1838,Blow,live action
1839,Message in a Bottle,live action
1840,Southpaw,live action
1841,Star Trek V: The Final Frontier,live action
1842,Atomic Blonde,live action
1843,Like Mike,live action
1844,Naked Gun 33 1/3: The Final Insult,live action
1845,Atonement,live action
1846,A View to a Kill,live action
1847,Racing Stripes,animation/live action
1848,Sicario,live action
1849,Black Rain,live action
1850,Full Metal Jacket,live action
1851,Den of Thieves,live action
1852,The Three Stooges,live action
1853,The Power of One: The Pokemon 2000 Movie Special,hand animation
1854,John Wick,live action
1855,Glory Road,live action
1856,The Age of Adaline,live action
1857,Step Up 3D,live action
1858,Drag Me to Hell,live action
1859,The Cabin In The Woods: An Army of Nightmares - Makeup & Animatronic Effects,live action
1860,Secondhand Lions,live action
1861,Stranger Than Fiction,live action
1862,Hanna,live action
1863,Blue Crush,live action
1864,30 Days of Night,live action
1865,Little Shop of Horrors,live action
1866,Gridiron Gang,live action
1867,Midnight Run,live action
1868,Meet the Spartans,live action
1869,The Running Man,live action
1870,The Family,live action
1871,The 15:17 to Paris,live action
1872,Mortal Kombat: Annihilation,live action
1873,Larry Crowne,live action
1874,Carrie,live action
1875,Last Christmas,live action
1876,Take the Lead,live action
1877,Death Wish,live action
1878,Entourage,live action
1879,What's the Worst That Could Happen?,live action
1880,Side Effects,live action
1881,9,digital animation
1882,Deliver Us from Evil,live action
1883,Get on Up,live action
1884,Molly's Game,live action
1885,The Five-Year Engagement,live action
1886,Winnie the Pooh,hand animation
1887,Bulworth,live action
1888,Dumb and Dumberer: When Harry Met Lloyd,live action
1889,White Boy Rick,live action
1890,Virtuosity,live action
1891,One True Thing,live action
1892,Sanctum,live action
1893,My Super Ex-Girlfriend,live action
1894,Black Ballerina,digital animation
1895,Mr 3000,live action
1896,Shaft,live action
1897,The Next Three Days,live action
1898,Proud Mary,live action
1899,Sleepless,live action
1900,Little Black Book,live action
1901,Assault on Precinct 13,live action
1902,Runner Runner,live action
1903,The Replacement Killers,live action
1904,Baahubali 2: The Conclusion,live action
1905,Ultraviolet,live action
1906,North Country,live action
1907,Fright Night,live action
1908,Mother!,live action
1909,Steve Jobs,live action
1910,Eight Legged Freaks,live action
1911,Fled,live action
1912,A Director's Playground: Vincenzo Natali on the Set of Splice,animation/live action
1913,88 Minutes: Director's Point of View,live action
1914,The Whole Ten Yards,live action
1915,Howard the Duck,live action
1916,Pride and Glory,live action
1917,The Cave,live action
1918,Godsend,live action
1919,Alex & Emma,live action
1920,Wicker Park,live action
1921,The New World,live action
1922,Evening,live action
1923,The Last Stand,live action
1924,In Dreams,live action
1925,Wing Commander,live action
1926,Café Society,live action
1927,Antitrust,live action
1928,Dead Man Down,live action
1929,Dragonball Evolution,live action
1930,First Daughter,live action
1931,An Unfinished Life,live action
1932,The Space Between Us,live action
1933,Anna,live action
1934,The Imaginarium of Doctor Parnassus,live action
1935,Trapped,live action
1936,Kin,live action
1937,Once Upon a Time in America,live action
1938,Stronger,live action
1939,Gloria,live action
1940,Replicas,live action
1941,The Assassination of Jesse James by the Coward Robert Ford,live action
1942,The Merchant of Venice,live action
1943,Supercross,live action
1944,Miss Potter,live action
1945,Machine Gun Preacher,live action
1946,Wild Card,live action
1947,United Passions,live action
1948,Die Konferenz der Tiere,digital animation
1949,Grace of Monaco,live action
1950,Overdrive,live action
1951,Goodbye Bafana,live action
1952,Ripley's Game,live action
1953,Collide,live action
1954,Pitch Perfect 2,live action
1955,Walk the Line,live action
1956,Night School,live action
1957,The Boss,live action
1958,12 Monkeys,live action
1959,Once Upon a Time in Mexico,live action
1960,Keeping the Faith,live action
1961,Logan Lucky,live action
1962,Florence Foster Jenkins,live action
1963,Like a Boss,Live Action
1964,Frost/Nixon,live action
1965,Seed of Chucky,live action
1966,Serving Sara,live action
1967,Confessions of a Dangerous Mind,live action
1968,Taking Woodstock,live action
1969,Cry Freedom,live action
1970,Unhinged,live action
1971,Mumford,live action
1972,The Jacket,live action
1973,Aladdin,hand animation
1974,Indiana Jones and the Temple of Doom,live action
1975,Straight Outta Compton,live action
1976,Girls Trip,live action
1977,The Rugrats Movie,hand animation
1978,Die Hard,live action
1979,Along Came a Spider,live action
1980,A Bad Moms Christmas,live action
1981,Safe Haven,live action
1982,The Big Short,live action
1983,Scary Stories to Tell in the Dark,live action
1984,Role Models,live action
1985,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",live action
1986,Miracle,live action
1987,Last Vegas,live action
1988,The Wedding Planner,live action
1989,Dawn of the Dead,live action
1990,For Your Eyes Only,live action
1991,Tag,live action
1992,The Royal Tenenbaums,live action
1993,Identity,live action
1994,Serendipity,live action
1995,Kick-Ass,live action
1996,Zoolander,live action
1997,Timecop,live action
1998,No Reservations,live action
1999,Hocus Pocus,live action
2000,Pride & Prejudice,live action
2001,30 Minutes or Less,live action
2002,Dracula 2000,live action
2003,Blade Runner,live action
2004,Rob Roy,live action
2005,3 Days to Kill,live action
2006,Kick-Ass 2,live action
2007,We Own the Night,live action
2008,A Walk Among the Tombstones,live action
2009,The Spy Next Door,live action
2010,Brick Mansions,live action
2011,Just My Luck,live action
2012,Lost Souls,live action
2013,American Ultra,live action
2014,Pride and Prejudice and Zombies,live action
2015,"Mystery, Alaska",live action
2016,A Simple Wish,live action
2017,Our Brand Is Crisis,live action
2018,Kundun,live action
2019,How to Lose Friends & Alienate People,live action
2020,Alatriste,live action
2021,Knocked Up,live action
2022,Octopussy,live action
2023,My Sister's Keeper,live action
2024,"Welcome Home, Roscoe Jenkins",live action
2025,Joyful Noise,live action
2026,A Passage to India,live action
2027,Notes on a Scandal,live action
2028,Rendition,live action
2029,Anonymous,live action
2030,Limitless,live action
2031,Star Trek VI: The Undiscovered Country,live action
2032,Annabelle Comes Home,live action
2033,Kiss the Girls,live action
2034,The Blues Brothers,live action
2035,The Jungle Book,live action
2036,The Sisterhood of the Traveling Pants 2,live action
2037,Money Monster,live action
2038,About a Boy,live action
2039,Lake Placid,live action
2040,Lucky Number Slevin,live action
2041,The Right Stuff,live action
2042,60 Millionen für Phantásien - Wie die 'unendliche Geschichte' ins Kino kam,live action
2043,Dark City,live action
2044,The Duchess,live action
2045,The Honeymooners,live action
2046,Return to Oz,live action
2047,The Newton Boys,live action
2048,Suspect Zero,live action
2049,Martian Child,live action
2050,Flawless,live action
2051,Mindhunters: Stunt Sequence,live action
2052,What Just Happened,live action
2053,The Statement,live action
2054,Lucy in the Sky,Live Action
2055,The Magic Flute,live action
2056,Paul Blart: Mall Cop,live action
2057,Freaky Friday,live action
2058,The 40-Year-Old Virgin,live action
2059,Shakespeare in Love,live action
2060,Kindergarten Cop,live action
2061,Pineapple Express,live action
2062,Philadelphia,live action
2063,Ever After: A Cinderella Story,live action
2064,Flatliners,live action
2065,Open Range,live action
2066,Red Eye,live action
2067,New Year's Eve,live action
2068,A Bridge Too Far,live action
2069,Pain & Gain,live action
2070,Final Destination 2,live action
2071,"O Brother, Where Art Thou?",live action
2072,In Good Company,live action
2073,Legion,live action
2074,Lawless,live action
2075,Clockstoppers,live action
2076,Silverado,live action
2077,Brothers,live action
2078,The Best of Me,live action
2079,Agent Cody Banks 2: Destination London,live action
2080,Bad Santa 2,live action
2081,Original Sin,live action
2082,The Raven,live action
2083,Welcome to Mooseport,live action
2084,Self/less,live action
2085,Motherless Brooklyn,live action
2086,The Curse of the Jade Scorpion,live action
2087,The Fifth Estate,live action
2088,Blood Ties,live action
2089,Accidental Love,live action
2090,Flipper,live action
2091,The Constant Gardener,live action
2092,W.,live action
2093,The Passion of the Christ,live action
2094,Mrs. Doubtfire,live action
2095,Rain Man,live action
2096,The Help,live action
2097,Hidden Figures,live action
2098,Gran Torino,live action
2099,Taken,live action
2100,Ride Along,live action
2101,The Bodyguard,live action
2102,Schindler's List,live action
2103,"Legally Blonde 2: Red, White & Blonde",live action
2104,Scooby-Doo 2: Monsters Unleashed,live action
2105,Anchorman: The Legend of Ron Burgundy,live action
2106,Freddy vs. Jason,live action
2107,Bridge to Terabithia,live action
2108,Jimmy Neutron: Boy Genius,digital animation
2109,Cloverfield,live action
2110,Dear John,live action
2111,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,live action
2112,Parental Guidance,live action
2113,The Untouchables,live action
2114,No Country for Old Men,live action
2115,Bridget Jones's Diary,live action
2116,Chocolat,live action
2117,No Strings Attached,live action
2118,Contraband,live action
2119,A Dog's Purpose,live action
2120,The Lucky One,live action
2121,Tombstone,live action
2122,Romeo Must Die,live action
2123,The Omen,live action
2124,Final Destination 3,live action
2125,Madea's Big Happy Family,live action
2126,Finding Neverland,live action
2127,The Grey Mile,live action
2128,Hide and Seek,live action
2129,Cobra,live action
2130,The House Bunny,live action
2131,Agent Cody Banks,live action
2132,Goodfellas,live action
2133,The Giver,live action
2134,Scarface,live action
2135,Nothing to Lose,live action
2136,The Last Emperor,live action
2137,The Night Before,live action
2138,The Beverly Hillbillies,live action
2139,The Hours,live action
2140,Money Talks,live action
2141,There Will Be Blood,live action
2142,The Wild Thornberrys Movie,hand animation
2143,Rugrats Go Wild,hand animation
2144,The Sisterhood of the Traveling Pants,live action
2145,Undercover Brother,live action
2146,August: Osage County,live action
2147,Kiss of the Dragon,live action
2148,Million Dollar Arm,live action
2149,Beauty Shop,live action
2150,What a Girl Wants,live action
2151,A Day in Hell: On the Set of 'Jeepers Creepers II',live action
2152,Just Mercy,Live Action
2153,Peppermint,live action
2154,Good Luck Chuck,live action
2155,Cradle 2 the Grave,live action
2156,She's the Man,live action
2157,The Gambler,live action
2158,Mr. Bean's Holiday,live action
2159,Mother's Day,live action
2160,Bride of Chucky,live action
2161,Fist Fight,live action
2162,August Rush,live action
2163,Anacondas: The Hunt for the Blood Orchid,live action
2164,The Sitter,live action
2165,Elizabeth,live action
2166,Tora! Tora! Tora!,live action
2167,Draft Day,live action
2168,The Shawshank Redemption,live action
2169,Rings,live action
2170,Dance Flick,live action
2171,Crocodile Dundee in Los Angeles,live action
2172,Kingpin,live action
2173,Ice Princess,live action
2174,The Losers,live action
2175,Fighting,live action
2176,War,live action
2177,A Lot Like Love,live action
2178,He Got Game,live action
2179,The Eagle,live action
2180,Shaun the Sheep Movie,stop-motion animation
2181,Shark Night 3D,live action
2182,CHIPS,live action
2183,Punch-Drunk Love,live action
2184,EuroTrip,live action
2185,Father Figures,live action
2186,The Ruins,live action
2187,Masterminds,Live Action
2188,The Counselor,live action
2189,Unaccompanied Minors,live action
2190,Mary Queen of Scots,live action
2191,"Bright Lights, Big City",live action
2192,Half Past Dead,live action
2193,Houston: The Legend of Texas,live action
2194,The Adventures of Pinocchio,animation/live action
2195,The Greatest Game Ever Played,live action
2196,The Box,live action
2197,The Next Best Thing,live action
2198,My Soul to Take,live action
2199,The Girl Next Door,live action
2200,Fly Me to the Moon 3D,digital animation
2201,Maximum Risk,live action
2202,Stealing Harvard,live action
2203,Hot Rod,live action
2204,Warrior,live action
2205,Angela's Ashes,live action
2206,Battle of the Sexes,live action
2207,Cirque du Soleil: Worlds Away,live action
2208,The 33,live action
2209,Lifeforce,live action
2210,The Conspirator: Mary Surratt and the Plot to Kill Lincoln,live action
2211,The Powerpuff Girls Movie,hand animation
2212,Big Trouble in Little China,live action
2213,Michael Collins,live action
2214,Stop-Loss,live action
2215,Gettysburg,live action
2216,Abandon,live action
2217,Straw Dogs,live action
2218,Brokedown Palace,live action
2219,Possession,live action
2220,Mrs. Winterbourne,live action
2221,Stone Cold,live action
2222,Serenity,live action
2223,The Road,live action
2224,Beautiful Boy,live action
2225,The Hoax,live action
2226,Captive State,live action
2227,Sheena,live action
2228,Underclassman,live action
2229,Say It Isn't So,live action
2230,The World's Fastest Indian,live action
2231,Deception,live action
2232,Tank Girl,live action
2233,King's Ransom,live action
2234,Blindness,live action
2235,Sgt. Stubby: An American Hero,digital animation
2236,Carnage,live action
2237,Tulip Fever,live action
2238,Legend,live action
2239,Bad Lieutenant: Port of Call New Orleans,live action
2240,Jane Got a Gun,live action
2241,Venom,live action
2242,Where the Truth Lies,live action
2243,Without Limits,live action
2244,On the Road,live action
2245,Love Ranch,live action
2246,Matilda,live action
2247,The Professor and the Madman,live action
2248,Ironclad,live action
2249,Red Sky,live action
2250,Waterloo,.
2251,Reagan,live action
2252,Dangerous Liaisons,live action
2253,Star Trek IV: The Voyage Home,live action
2254,Scream 2,live action
2255,The Addams Family,digital animation
2256,Old School,live action
2257,Rocky Balboa,live action
2258,Think Like a Man Too,live action
2259,Fences,live action
2260,The Whole Nine Yards,live action
2261,Footloose,live action
2262,Going in Style,live action
2263,Point Break,live action
2264,The Fisher King,live action
2265,I Still Know What You Did Last Summer,live action
2266,Hitman,live action
2267,"Hello, Dolly!",live action
2268,Return to Me,live action
2269,The Men Who Stare at Goats,live action
2270,Zack and Miri Make a Porno,live action
2271,Double Take,live action
2272,"Girl, Interrupted",live action
2273,Nurse Betty,live action
2274,Piranha 3D,live action
2275,Faster,live action
2276,The Wiz,.
2277,Win a Date with Tad Hamilton!,live action
2278,Muppets from Space,live action
2279,Ready to Rumble,live action
2280,Foxcatcher,live action
2281,I Don't Know How She Does It,live action
2282,Play It to the Bone,live action
2283,Dhoom 3,.
2284,Beyond the Sea,live action
2285,Meet the Deedles,live action
