movie_id,title,release_year,release_date,runtime,mpa_rating,mpa_rating_origin,imdb_score,votes,reviews_users,reviews_critics,budget,income_usa,income_ww,theater_opening,theater_total,genre_1,genre_2,genre_3,country_1,country_2,country_3,director,actor_1,actor_2,actor_3,studio,description,contract_price,studio_score,price_class
tt4104022,People Places Things,2015,08-14-2015,85,R,R,6.9,7644,20,56,.,67046,177338,19,19,Comedy,Romance,,USA,,,Jim Strouse,Jemaine Clement,Aundrea Gadsby,Gia Gadsby,TFA,Will Henry is a newly single graphic novelist balancing parenting his young twin daughters and a classroom full of students while exploring and navigating the rich complexities of new love and letting go of the woman who left him.,610,1,3
tt3774466,Ashby,2015,09-25-2015,100,R,R,6.4,13811,45,25,.,4631,122919,15,15,Comedy,Crime,Drama,USA,,,Tony McNamara,Mickey Rourke,Nat Wolff,Emma Roberts,TFA,"High-school student Ed Wallis enters into a friendship with his neighbor, Ashby, a retired CIA assassin who only has a few months left to live.",550,1,1
tt0803057,The Promotion,2008,06-13-2008,86,R,R,5.6,17615,52,74,8000000,408709,457690,6,81,Comedy,,,USA,,,Steve Conrad,Seann William Sco,Chris Conrad,Rick Gonzalez,TRR,Two assistant managers of a corporate grocery store vie for a coveted promotion.,630,2,3
tt0370986,Mysterious Skin,2004,06-24-2005,105,NC-17,NC-17,7.6,63443,254,145,.,713240,1532932,1,23,Drama,,,USA,,,Gregg Araki,Chase Ellison,George Webster,Rachael Nastassja,Tar.,"A teenage hustler and a young man obsessed with alien abductions cross paths, together discovering a horrible, liberating truth.",610,4,1
tt1321511,Oldboy,2013,11-27-2013,104,R,R,5.8,64658,283,260,30000000,2193658,4861022,5,28,Action,Drama,Mystery,USA,,,Spike Lee,Josh Brolin,Elizabeth Olsen,Sharlto Copley,Tar.,"Obsessed with vengeance, a man sets out to find out why he was kidnapped and locked into solitary confinement for twenty years without reason.",610,4,1
tt0468489,Half Nelson,2006,09-22-2006,106,R,R,7.2,81313,204,217,700000,2697938,4660481,2,106,Drama,,,USA,,,Ryan Fleck,Ryan Gosling,Jeff Lima,Shareeka Epps,Think,An inner-city junior high school teacher with a drug habit forms an unlikely friendship with one of his students after she discovers his secret.,670,1,5
tt0292963,Before the Devil Knows You're Dead,2007,10-26-2007,117,R,R,7.3,91274,289,200,18000000,7084227,25038417,2,321,Crime,Drama,Thrille,USA,,,Sidney Lumet,Philip Seymour Ho,Ethan Hawke,Albert Finney,Think,"When two brothers organize the robbery of their parent's jewelry store the job goes horribly wrong, triggering a series of events that sends them, their father and one brother's wife hurtling towards a shattering climax.",820,1,10
tt0097790,Loverboy,1989,04-28-1989,98,R,R,6,6773,31,8,.,3960327,3960327,4,4,Comedy,,,USA,,,Joan Micklin Silv,Patrick Dempsey,Kate Jackson,Robert Ginty,Think,"Randy is still unfocused after 2 years in college. His dad will no longer pay tuition and Randy gets a job delivering pizzas. Several cute cougars pay him $200 for pizza delivery and ""services rendered"". Their husbands?",550,1,1
tt0369994,Strangers with Candy,2005,07-21-2006,97,R,R,6,7628,81,52,3500000,2072645,2254124,2,109,Comedy,,,USA,,,Paul Dinello,Amy Sedaris,Paul Sedaris,Chandra Wilson,Think,"A prequel to the critically acclaimed series featuring Jerri Blank, a forty-six-year-old ex-junkie, ex-con who returns to high school in a bid to start her life over.",550,1,1
tt0444653,Keeping Mum,2005,10-06-2006,99,R,R,6.8,31877,134,185,169000,1619466,18586834,2,79,Comedy,Crime,,USA,,,Niall Johnson,Rowan Atkinson,Kristin Scott Thomas,Maggie Smith,Think,"A pastor preoccupied with writing the perfect sermon fails to realize that his wife is having an affair, and his children are up to no good.",550,1,1
tt0367027,Shortbus,2006,10-20-2006,101,NC-17,Unrat,6.4,30772,208,89,2000000,1985292,5516192,6,70,Drama,Romance,,USA,,,John Cameron Mitc,Paul Dawson,Lindsay Beamish,Adam Hardman,Think,"A group of New Yorkers caught up in their romantic-sexual milieu converge at an underground salon infamous for its blend of art, music, politics, and carnality.",550,1,1
tt5294550,All the Money in the World,2017,12-25-2017,132,R,R,6.8,63807,219,305,50000000,25113707,56996304,2074,2123,Biography,Crime,Drama,USA,Italy,UK,Ridley Scott,Michelle Williams,Christopher Plummer,Mark Wahlberg,TriS,The story of the kidnapping of 16-year-old,610,4,1
tt4257926,Miracles from Heaven,2016,03-16-2016,109,PG,PG,7.1,18468,105,71,13000000,61705123,73883359,3047,3155,Biography,Drama,Family,USA,,,Patricia Riggen,Jennifer Garner,Kylie Rogers,Martin Henderson,TriS,Based on the incredible true story of the Beam family.,610,4,1
tt3890160,Baby Driver,2017,06-28-2017,113,R,R,7.6,386985,996,569,34000000,107825862,226945087,3226,3226,Action,Crime,Drama,UK,USA,,Edgar Wright,Ansel Elgort,Jon Bernthal,Jon Hamm,TriS,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",880,4,10
tt3832914,War Room,2015,08-28-2015,120,PG,PG,6.4,12085,148,42,3000000,67790117,73256266,1135,1945,Drama,,,USA,,,Alex Kendrick,Karen Abercrombie,Priscilla C. Shirer,T.C. Stallings,TriS,"A seemingly perfect family looks to fix their problems with the help of Miss Clara, an older, wiser woman.",610,4,1
tt1136608,District 9,2009,08-14-2009,112,R,R,7.9,613333,1337,479,30000000,115646235,210819611,3049,3180,Action,Sci-Fi,Thrille,Sou,USA,New Z,Neill Blomkamp,Sharlto Copley,Jason Cope,Nathalie Boltt,TriS,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,880,4,10
tt3623726,Ricki and the Flash,2015,08-07-2015,101,PG-13,PG-13,5.9,21340,123,195,18000000,26822144,41325328,1603,2064,Comedy,Drama,Music,USA,,,Jonathan Demme,Meryl Streep,Rick Springfield,Rick Rosas,TriS,"A musician who gave up everything for her dream of rock-and-roll stardom returns home, looking to make things right with her family.",610,4,1
tt3488710,The Walk,2015,10-09-2015,123,PG,PG,7.3,112139,236,369,35000000,10137502,61181942,448,2509,Adventure,Biography,Drama,USA,,,Robert Zemeckis,Joseph Gordon-Lev,Guillaume Baillargeon,¢®¢®milie Leclerc,TriS,"In 1974, high-wire artist Philippe Petit recruits a team of people to help him realize his dream: to walk the immense void between the World Trade Center towers.",610,4,1
