title,dom_bo,int_bo,wrld_bo,dvd_sales,blu_sales,total_sales,opening,runtime,legs,share,budget,theater_opening,theater_max,inf_dom_bo,release,vdo_release,mpaa,series,genre,kwrds,src,prd_mthd,creative_type,prd_company,prd_country,lang,synop
"/movie/Avengers-Endgame-(2019)#tab=summary
",858373000,1939427564,2797800564,19581271,69437591,89018862,357115007,181.0,2.4,30.7,400000000,4662,4662,858373000,"April 26th, 2019","July 30th, 2019",PG-13,Marvel Cinematic UniverseAvengers,action,"ensemble, marvel comics, animal lead, non-chronological, super villains, death of a best friend, motion capture performance, 3-d, 3-d - post-production conversion, imax: dmr",based on comic/graphic novel,animation/live action,super hero,Marvel Studios,united states,english,"the grave course of events set in motion by thanos that wiped out half the universe and fractured the avengers ranks compels the remaining avengers to take one final stand in marvel studiosâ grand conclusion to twenty-two films, âavengers: endgame.â
"
"/movie/Pirates-of-the-Caribbean-On-Stranger-Tides#tab=summary
",241063875,804600000,1045663875,35478573,58936309,94414882,90151958,136.0,2.67,23.1,379000000,4155,4164,276934662,"May 20th, 2011","October 18th, 2011",PG-13,Pirates of the Caribbean,adventure,"pirates, zombies, visual effects, romance, epilogue, revenge, sequels without their original stars, 3-d, foreign language, escape, mermaids, imax: dmr",based on theme park ride,live action,fantasy,Walt Disney Pictures,united states,english,"when captain jack sparrow crosses paths with the enigmatic angelica, he's not sure if it's love - or if she's a ruthless con artist who's using him to find the fabled fountain of youth. when she forces him aboard the ""queen anne's revenge,"" the ship of the legendary pirate blackbeard, jack finds himself on an unexpected adventure in which he doesn't know whom to fear more: blackbeard or angelica, with whom he shares a mysterious past.  
"
