prd_company,num_movies,com_dom_bo,com_wrld_bo
Platinum Dunes,16,"$1,008,125,530","$1,895,359,344"
ImageMovers,13,"$1,007,026,636","$1,954,852,025"
Millennium Films,47,"$1,004,847,388","$2,541,286,974"
Tencent Pictures,11,"$998,413,291","$2,928,358,030"
Blinding Edge Pictures,9,"$986,141,569","$2,180,968,377"
Marc Platt Productions,26,"$974,437,094","$2,173,520,575"
Lightstorm Entertainment,7,"$968,579,680","$3,241,940,864"
Tribeca Film,34,"$967,941,549","$2,433,254,553"
Matt Tolmach Productions,7,"$949,217,093","$2,646,752,284"
Thunder Road Film,24,"$948,759,982","$2,228,376,276"
Bluegrass Films,16,"$947,131,337","$2,111,838,570"
Pascal Pictures,11,"$944,268,258","$2,640,995,329"
Nickelodeon Films,18,"$928,527,878","$1,777,623,227"
Weed Road Pictures,16,"$906,715,071","$2,289,707,152"
20th Century Fox Animation,11,"$902,509,153","$2,649,597,016"
Gold Circle Films,38,"$897,525,993","$1,491,010,993"
MRC,7,"$897,461,999","$2,600,743,315"
Reliance Entertainment,28,"$881,190,791","$1,989,123,210"
Playtone,16,"$875,269,950","$2,080,480,497"
StudioCanal,109,"$871,833,790","$3,737,174,168"
Lin Pictures,5,"$867,646,434","$1,707,311,714"
Everyman Pictures,8,"$838,616,955","$1,444,592,839"
Annapurna Pictures,33,"$832,435,590","$1,361,127,508"
Imprint Entertainment,9,"$821,378,602","$1,827,559,077"
EuropaCorp,31,"$816,941,893","$2,384,179,311"
De Line Pictures,12,"$806,456,341","$1,713,385,180"
Hollywood Pictures,15,"$804,897,397","$1,666,392,590"
Green Hat Films,5,"$799,257,788","$1,728,995,694"
Jersey Films,21,"$782,151,943","$1,265,606,455"
Don Simpson,6,"$778,638,973","$1,438,856,298"
Seven Bucks Productions,10,"$770,872,787","$2,499,506,813"
MTV Films,18,"$768,710,310","$1,166,035,559"
Michael De Luca,15,"$768,277,345","$2,205,561,065"
Mandate Pictures,20,"$765,916,964","$1,203,285,029"
Jerry Bruckheimer Films,8,"$765,130,896","$2,059,041,531"
Bron Creative,17,"$761,793,827","$1,704,445,226"
Icon Productions,11,"$752,171,349","$1,306,901,318"
Mace Neufeld,9,"$748,460,578","$1,420,638,155"
Miramax Films,38,"$747,438,293","$1,602,076,334"
Appian Way,21,"$730,273,929","$1,896,756,370"
Big Screen Prods,11,"$726,109,547","$2,285,877,791"
Gil Netter Productions,10,"$713,631,673","$1,477,675,966"
Red Hour Productions,21,"$703,899,231","$1,191,352,215"
Benderspink Productions,14,"$685,402,199","$1,182,032,324"
Point Grey,12,"$683,613,796","$1,041,048,769"
Warner Animation Group,15,"$682,301,274","$1,354,499,072"
Alphaville,7,"$678,508,753","$1,685,520,591"
Dimension Films,25,"$676,013,253","$1,286,063,958"
Rideback,6,"$672,958,952","$1,711,622,208"
Will Packer Productions,16,"$664,565,659","$801,293,202"
Bagdasarian Company,4,"$655,935,962","$1,404,694,725"
Don Murphy,2,"$647,550,946","$1,940,573,771"
Tom DeSanto,2,"$647,550,946","$1,940,573,771"
NPV Entertainment,5,"$641,119,275","$1,530,143,484"
Tom Cruise Productions,5,"$639,730,779","$1,968,654,503"
Fuji Television Network,18,"$634,652,116","$1,941,497,752"
Mad Chance,12,"$632,323,793","$1,190,477,651"
BBC Films,151,"$630,155,438","$1,753,443,753"
DMG Entertainment,9,"$624,771,531","$1,754,301,084"
A Band Apart,9,"$607,790,772","$1,485,237,887"
Atomic Monster,16,"$602,441,306","$1,736,194,167"
Troublemaker Studios,11,"$600,283,124","$1,371,465,183"
Lawrence Gordon,9,"$596,369,735","$1,142,909,474"
Joint Effort,5,"$593,678,548","$1,593,594,646"
Red Wagon Entertainment,8,"$592,747,124","$1,213,097,997"
Cube Vision,8,"$590,237,799","$687,520,633"
Reliance BIG Entertainment,14,"$584,336,381","$1,168,625,825"
Media Rights Capital,13,"$580,236,863","$1,457,114,591"
Gracie Films,7,"$574,925,763","$1,145,275,610"
Team Todd,9,"$570,179,906","$991,325,568"
Closest to the Hole,11,"$567,778,053","$858,583,611"
Tyler Perry Studios,11,"$566,109,847","$594,121,779"
DC Films,3,"$564,086,102","$1,802,839,849"
