movie_id,item_id,inv_exist,cluster_kmeans
tt0319262,.,0,9
tt3874544,.,0,9
tt0800320,.,0,9
tt1679335,I-1079,1,18
tt0120685,.,0,9
tt1446714,.,0,9
tt1194173,.,0,18
tt0118688,.,0,9
tt5758778,.,0,18
tt1386703,.,0,18
tt2094766,.,0,18
tt3095734,.,0,7
tt0120657,.,0,6
tt0170016,.,0,9
tt0177971,.,0,9
tt4196776,I-1076,1,9
tt0454876,.,0,8
tt0259324,.,0,18
tt2231461,.,0,18
tt0305357,.,0,9
tt1535108,.,0,18
tt1483013,.,0,9
tt3717490,.,0,18
tt0243585,.,0,18
tt1234721,.,0,18
tt0296572,.,0,18
tt0811080,.,0,18
tt0399201,.,0,6
tt1341188,.,0,23
tt1013743,.,0,18
tt1270797,.,0,9
tt0198781,.,0,2
tt1430132,.,0,9
tt0118928,.,0,19
tt2381991,.,0,18
tt0245562,.,0,6
tt1320261,.,0,23
tt3411444,.,0,18
tt5463162,I-1098,1,2
tt1454468,I-1037,1,8
tt0477347,.,0,9
tt2126355,I-1051,1,9
tt0472181,.,0,18
tt0337978,.,0,9
tt0349903,.,0,9
tt0120347,.,0,9
tt0187393,.,0,6
tt1253863,.,0,18
tt0338751,.,0,8
tt1355644,.,0,13
tt0990407,.,0,18
tt1935859,.,0,18
tt0433035,.,0,18
tt0429493,.,0,18
tt2017020,.,0,18
tt1111422,.,0,19
tt1731141,.,0,18
tt0299172,.,0,19
tt0120179,.,0,18
tt0320661,.,0,18
tt1219827,.,0,18
tt0327437,.,0,18
tt0120737,.,0,2
tt0312528,.,0,19
tt0248667,.,0,6
tt3659388,I-1061,1,2
tt3640424,.,0,6
tt0343818,.,0,9
tt0164912,.,0,19
tt0780521,.,0,18
tt0443649,.,0,18
tt3416828,.,0,18
tt0141907,.,0,23
tt4649466,.,0,18
tt0187078,.,0,19
tt0172495,.,0,2
tt1620680,.,0,18
tt1152836,.,0,6
tt0381061,.,0,2
tt0181689,.,0,21
tt4701182,.,0,18
tt1371111,.,0,6
tt0295297,.,0,5
tt0103064,.,0,2
tt0112462,.,0,9
tt0133152,.,0,9
tt0368891,.,0,9
tt1853728,.,0,8
tt0970866,.,0,19
tt0111503,.,0,6
tt0765429,.,0,21
tt0844471,.,0,19
tt1386588,.,0,19
tt0339291,.,0,18
tt0993846,.,0,8
tt0848537,.,0,18
tt0116213,.,0,6
tt0116583,.,0,18
tt0120917,.,0,19
tt1764651,.,0,18
tt0386117,.,0,18
tt0449010,.,0,18
tt1267297,.,0,18
tt1243957,.,0,18
tt0146675,.,0,19
tt0327162,.,0,19
tt0423294,.,0,19
tt0450259,.,0,21
tt1219342,.,0,18
tt0120201,.,0,18
tt0457400,.,0,18
tt0316396,.,0,18
tt0327554,.,0,13
tt2333784,.,0,18
tt0133240,.,0,18
tt0947810,.,0,1
tt1981128,.,0,18
tt2058673,.,0,18
tt1390411,.,0,18
tt2209764,.,0,18
tt0362165,.,0,7
tt1571234,.,0,18
tt0180052,.,0,13
tt2452042,I-1063,1,18
tt4532826,.,0,18
tt0209163,.,0,9
tt0217505,.,0,21
tt2316204,.,0,18
tt1661199,.,0,9
tt1667889,.,0,18
tt0265086,.,0,21
tt1261945,.,0,18
tt0814255,.,0,18
tt1790886,.,0,19
tt0477080,.,0,19
tt0119116,.,0,21
tt0138749,.,0,13
tt0380510,.,0,23
tt2638144,.,0,18
tt1121096,.,0,23
tt0266543,.,0,2
tt0167260,.,0,2
tt0167261,.,0,2
tt0146316,.,0,9
tt0163025,.,0,9
tt1318514,.,0,2
tt0416236,.,0,18
tt0317705,.,0,2
tt1606378,.,0,18
tt0318974,.,0,23
tt0112760,.,0,7
tt0359950,.,0,19
tt2283362,I-1094,1,9
tt0119654,.,0,9
tt0120363,.,0,21
tt0266915,.,0,9
tt0988045,.,0,2
tt1080016,.,0,18
tt0161081,.,0,18
tt1436562,.,0,19
tt0407887,.,0,8
tt0160127,.,0,19
tt0120762,.,0,21
tt0942385,.,0,19
tt1568346,.,0,21
tt0118884,.,0,6
tt0960144,.,0,19
tt0112864,.,0,21
tt2404435,.,0,18
tt2974918,.,0,19
tt0230011,.,0,18
tt0985699,.,0,6
tt2120120,.,0,19
tt0338094,.,0,7
tt0164052,.,0,19
tt0373926,.,0,6
tt1854564,.,0,18
tt0325703,.,0,13
tt3110958,.,0,19
tt0266987,.,0,6
tt0120053,.,0,13
tt0183523,.,0,19
tt1365519,.,0,18
tt0182789,.,0,6
tt0349683,.,0,18
tt0120461,.,0,6
tt0118972,.,0,6
tt0267626,.,0,6
tt0816462,.,0,18
tt1509767,.,0,1
tt1041804,.,0,3
tt0117998,.,0,9
tt0352248,.,0,21
tt3829266,.,0,18
tt0120667,.,0,9
tt0212985,.,0,9
tt0329575,.,0,6
tt0162222,.,0,21
tt0366548,.,0,18
tt0240772,.,0,21
tt0372183,.,0,21
tt0118571,.,0,9
tt1013752,.,0,9
tt0451079,.,0,19
tt1840309,.,0,9
tt0837562,.,0,19
tt0461770,.,0,18
tt1599348,.,0,6
tt0496806,.,0,19
tt1230414,.,0,6
tt0120660,.,0,6
tt0400717,.,0,19
tt0471042,.,0,13
tt0211181,.,0,19
tt1667353,.,0,18
tt0457939,.,0,23
tt0463985,.,0,18
tt0397535,.,0,6
tt0215750,.,0,21
tt0107362,.,0,18
tt0327850,.,0,23
