movie_id,income_opening,votes,income_usa,income_int,income_ww
tt0325537,13503484,17494,37788228,495537,38283765
tt1396484,123403419,420881,328828874,372900000,701728874
tt1119646,44979319,686734,277322503,188441583,465764086
tt0878804,34119372,276730,255959475,49746319,305705794
tt0096895,40489746,323942,251188924,160160000,411348924
tt0145660,54917604,209247,206040085,106343402,312383487
tt1403865,24830443,293533,171243005,81033923,252276928
tt0104714,33243086,150296,144731527,174968473,319700000
tt0120812,33001803,228047,141186864,104113136,245300000
tt2024432,34551025,118943,134506920,40854658,175361578
tt0458352,27537244,350144,124740460,201332695,326073155
tt1499658,28302165,407937,117538559,94879042,212417601
tt0227538,26546881,103070,112692062,85000000,197692062
tt3152624,30097040,125031,110212700,30911197,141123897
tt2140373,413373,145534,83299761,31662764,114962525
tt0079945,11926421,77541,82258456,56741544,139000000
tt0478087,24105943,220067,81159365,78687064,159846429
tt1033643,20172474,160456,80277646,138258062,218535708
tt0101540,10261025,160554,79091969,103200000,182291969
tt0116209,278439,170372,78716374,152993634,231710008
tt0785006,17012212,20535,73178547,49178625,122357172
tt0372237,20671446,38706,68915888,33200000,102115888
tt1758830,11579175,121642,67544505,22676677,90221182
tt0119488,5211198,507437,64604977,61600000,126204977
tt0405325,14631784,74494,63939454,19169905,83109359
tt0119360,15019821,36776,63826569,19400000,83226569
tt1179056,32902299,88463,63075011,54654610,117729621
tt0209958,17515050,91999,61280963,24630263,85911226
tt0114508,17161943,71194,60054449,53300000,113354449
tt0437863,19656429,46634,59843754,5219972,65063726
tt1028576,12694770,25267,59699513,676734,60376247
tt0120744,17271450,149898,56968902,126000000,182968902
tt1632708,18622150,326223,55802754,90793137,146595891
tt4438848,21760405,107769,55340730,53416891,108757621
tt0453556,24255205,59570,54149098,41946920,96096018
tt0316465,13303724,36904,52333738,959890,53293628
tt5052474,19007566,109259,50065850,25819346,75885196
tt0976238,16894511,35224,49492060,45612244,95104304
tt0104797,9871125,78577,48169910,0,48169910
tt1029360,22620386,53143,47425125,48287944,95713069
tt5664636,15802225,14925,46697321,46594157,93291478
tt1413492,15815025,57771,45819713,25298665,71118378
tt0417001,12855321,29580,43894863,14510450,58405313
tt0762114,10422258,36853,43799818,26387270,70187088
tt0119008,11660216,262630,41954997,23348055,65303052
tt0467197,17639849,119226,40689393,47085657,87775050
tt0120804,17707106,237749,40119709,63667692,103787401
tt0335245,12634563,95458,39692139,37700000,77392139
tt0491152,13945368,55540,39046489,26037627,65084116
tt0762121,7849304,9586,37629831,8679813,46309644
tt1637688,12050368,354607,37553932,127550020,165103952
tt1212436,12201710,47010,37490007,37791172,75281179
tt1616195,11217324,118449,37306030,47300000,84606030
tt0186894,11423716,19491,36805288,16620004,53425292
tt4560436,13710825,56926,36108758,30186363,66295121
tt2967224,13942258,46062,34580201,11091311,45671512
tt3322364,10513749,81183,34531832,15831958,50363790
tt1615160,13113024,88413,34393507,106389853,140783360
tt0376541,7707972,194809,33987757,82189938,116177695
tt0111301,9508030,63275,33423000,66000000,99423000
tt0265087,11102948,36446,33426971,6549264,39976235
tt0253474,111261,678230,32519322,79334860,111854182
tt0397065,12077236,110997,32064800,38000000,70064800
tt0120681,11014818,142242,31598308,37114057,68712365
tt6306064,11603039,39518,31445011,26452180,57897191
tt0790686,11161074,99153,30691439,46529157,77220596
tt3717252,13688751,65523,30353973,50855249,81209222
tt0238546,14757535,50710,30336800,15142310,45479110
tt0880578,11354069,45935,28687835,23962116,52649951
tt0100403,8784943,139444,28317513,26450905,54768418
tt1600195,10925253,73965,28087155,58561204,86648359
tt0080745,3934030,47625,27107960,0,27107960
tt0426592,9510297,61135,26638520,46387782,73026302
tt0124298,9160263,56792,26511114,13751906,40263020
tt1712170,11396768,31418,25888412,9538347,35426759
tt0300051,8319171,61303,25266129,11800000,37066129
tt0119668,5233658,35583,25105255,0,25105255
tt1473832,8571785,63276,24139805,181682883,205822688
tt0252503,7823521,31819,23483357,5423460,28906817
tt0104427,6406012,20526,23365858,5025615,28391473
tt3553442,7450275,47357,23083334,2267413,25350747
tt0327679,6169030,58925,22918387,4470380,27388767
tt2679042,8326530,82576,22467450,59715353,82182803
tt5776858,216495,96542,21198205,26698516,47896721
tt0443701,10021753,87025,20982478,47188314,68170792
tt1547234,6030164,107012,20275446,11117755,31393201
tt1235522,8268908,73131,19701164,14778881,34480045
tt0361089,5914722,19935,19478106,44710281,64188387
tt0185014,5808919,59648,19389454,14033031,33422485
tt0257516,9633085,29552,19294901,5820000,25114901
tt0841046,4174383,63930,18317151,2288902,20606053
tt0240510,6857879,31598,18306166,11576479,29882645
tt0492389,6627564,15108,17630465,21709712,39340177
tt1904996,7008222,108465,17616641,30926747,48543388
tt0360201,7118985,57382,16862585,24803891,41666476
tt0211938,5485591,10164,15325127,146842,15471969
tt0891527,6702434,46136,14998070,48213018,63211088
tt0099587,5725133,6048,14587732,0,14587732
tt0478304,372920,160922,13305665,48416161,61721826
tt0244000,4855475,13425,13264986,336123,13601109
tt1540128,5750288,27861,13103272,17859063,30962335
tt0383060,4510408,17641,11989328,516860,12506188
tt0120824,1205174,31271,11405825,13000000,24405825
tt0962736,160069,55228,11001272,20877619,31878891
tt1742334,5272444,56975,10508518,7867925,18376443
tt0120724,5516231,13187,10319915,0,10319915
tt0365929,4915104,36354,10275638,1979108,12254746
tt2358925,4772613,30406,10219501,2994550,13214051
tt3488710,1560299,113709,10161183,51330921,61492104
tt0414993,3768702,220789,10144010,5317628,15461638
tt2304771,84283,25543,8323085,21567317,29890402
tt0450314,4271451,58424,8050977,2106557,10157534
tt0304711,4438899,16553,7659747,3900000,11559747
tt0401445,3721526,84439,7459300,34604805,42064105
tt3381008,3258327,86237,6864016,21856454,28720470
tt1758810,3372565,53647,6670765,36555381,43226146
tt0280665,2776248,32292,6630252,10200000,16830252
tt0120479,3277084,2625,6524620,12416,6537036
tt0309820,908446,14333,5781086,26935977,32717063
tt2053331,456930,37,5101237,19586287,24687524
tt0105211,1932595,11900,4651977,0,4651977
tt2980210,1138578,37718,4212494,7633516,11846010
tt0120152,107108,13183,2372903,0,2372903
tt0091767,1406300,526,2669366,0,2669366
tt0081059,.,12976,.,.,.
tt0134154,64159,12498,635096,0,635096
tt1656186,183125,41988,289773,17677973,17967746
tt1674784,16816,40182,16816,769716,786532
tt0416496,.,32923,.,19282590,18381890
tt1321869,.,2933,.,53899,66428
tt0490087,.,238,.,.,.
tt1093357,2993519,56147,21443494,41388221,62831715
tt3890160,20553320,397231,107825862,120278323,228104185
tt1790864,32512804,398113,102427862,245891999,348319861
tt2726560,13019686,72818,37446117,26356811,63802928
tt0106226,2317289,46584,32255440,0,32255440
tt4073790,5842609,25206,12695691,25665737,38361428
tt0163579,5810531,9004,11263966,524710,11788676
tt0138304,4027003,51382,10672566,8926022,19598588
tt0167203,2411445,4218,6543194,7748805,14291999
tt0082979,2411083,19619,40382659,0,40382659
tt0104257,15517468,221340,141340178,95159822,236500000
tt0208003,25661041,77737,117559438,56000000,173559438
tt0242445,18485586,31031,51758599,28200000,79958599
tt2823054,16628170,77844,46009673,29888427,75898100
tt1800741,11731708,52176,35074677,130477613,165552290
tt0417148,15206301,128180,34020814,28000000,62020814
tt0330793,13834527,145426,33664370,20869404,54533774
tt0204626,9062295,24720,28946615,18321214,47267829
tt8688634,9261268,14286,28539757,21400000,49939757
tt1656190,7892539,98968,17142080,24353133,41495213
tt0483607,4926565,70415,11008770,10612418,21621188
tt0120797,3555032,27500,8408835,0,8408835
tt1817771,42713,10292,70985,0,70985
tt1478338,26247410,257070,169211718,120420305,289632023
tt0976051,168051,221869,34194407,78770468,112964875
tt1931435,7591663,45522,21819348,26606623,48425971
tt1655460,6526650,70347,17288155,6871779,24159934
tt0319343,31113501,207088,174626840,46837892,221464732
tt0117333,24517121,72321,104636382,47400000,152036382
tt1245492,20719162,370080,101470202,25068915,126539117
tt0281373,17814259,24282,81150692,35747336,116898028
tt0457510,28309599,77950,80197993,19098469,99296462
tt0096061,13027842,81830,60328558,0,60328558
tt1135084,20512304,55131,57744720,12842548,70587268
tt0945513,14812094,464956,54712227,85716272,140428499
tt0145531,18309666,62115,50041732,39400000,89441732
tt0203019,13339465,103306,48814909,33524574,82339483
tt6791096,16030218,43684,48795601,42758196,91553797
tt1464174,16300803,24343,37915414,44417036,82332450
tt0106246,8624292,47796,36733909,.,36733909
tt0481369,14602867,187884,35193167,42400000,77593167
tt0078723,2701898,30044,34175000,60700000,94875000
tt0418647,9178233,11656,33022286,6476074,39498360
tt6394270,319157,23301,31575800,21324831,52900631
tt0399146,515992,215356,31493782,29984015,61477797
tt0790628,10177257,68873,22537881,4854728,27392609
tt0114214,6515861,80916,18636537,0,18636537
tt0323033,6728905,21272,17848322,12100000,29948322
tt6628394,7132647,112333,17839115,11360284,29199399
tt1322312,6884964,55435,17804299,25799691,43603990
tt0163988,6193052,60810,16797191,0,16797191
tt1053424,6126170,97916,13942007,4253231,18195238
tt0372873,5041239,23103,10977721,68937640,79915361
tt0115725,1895593,5914,4357406,0,4357406
tt0118829,939781,6613,3566637,0,3566637
tt0150216,93998,8585,2903404,83528,2986932
tt0452624,76817,23319,1308696,5369337,6678033
tt0306892,.,3514,.,.,47636
tt0078788,118558,571355,83471511,2444335,85915846
tt4545300,5767278,55760,14708696,24062566,38771262
tt6859418,.,2804,.,49832644,49954866
tt0453562,27487144,79993,95020213,2450488,97470701
tt1907668,24900566,311414,93772375,66786063,160558438
tt0113862,14466,34098,82582604,23700000,106282604
tt0089755,3637290,67559,79096868,179113992,258210860
tt0079574,7108344,85156,70300000,140000000,210300000
tt2278388,811166,661467,59076019,104905242,163981261
tt1524930,14681108,91519,58884188,43422312,102306500
tt0099052,8045760,60259,53208108,0,53208108
tt0186151,9025584,96863,44983704,23095967,68079671
tt0252501,9021494,34834,24185781,6700000,30885781
tt1244659,6012594,15893,12482741,3344243,15826984
tt0113161,12700007,72820,72021008,43000000,115021008
tt0087332,13612564,336747,242212467,53000000,295212467
tt0114709,29140617,834822,191796233,172749283,364545516
tt3104988,26510140,119244,174532921,63566790,238099711
tt0299658,2074929,206941,170687518,136083027,306770545
tt0142342,41536370,190847,163479795,65161488,228641283
tt0252866,45117985,230139,145096820,141403180,286500000
tt1606389,41202458,177315,125014030,72604130,197618160
tt0111257,14456194,313599,121248145,161951855,283200000
tt0099810,17161835,169046,120709866,79790134,200500000
tt1327773,24637312,104727,116632095,60393403,177025498
tt0210945,20905831,189221,115654751,21051932,136706683
tt1136608,37354308,618557,115646235,96807196,212453431
tt0364725,30070196,219266,114326736,53464968,167791704
tt0101272,24203754,123269,113502246,78000000,191502246
tt0112281,37804076,193053,108360063,104039937,212400000
tt0247638,22862269,120521,108244774,57090000,165334774
tt0122933,18383507,141145,106885658,70000000,176885658
tt0116313,18913411,40318,105489203,76000000,181489203
tt0405159,179953,605093,100492203,131436024,231928227
tt0114369,13949807,1346799,100125643,228000000,328125643
tt0327056,640815,400135,90135191,66686829,156822020
tt1850457,13922855,60696,87044645,18986015,106030660
tt1193138,1181450,307888,83823381,83019358,166842739
tt0332280,13464745,492343,81001787,35023236,116025023
tt1114677,32324487,37893,79576189,89597017,169173206
tt0988595,23007725,148454,76808654,83439151,160247805
tt0213203,22718184,10548,76501438,26783375,103284813
tt1959563,21384504,173253,75468583,97310084,172778667
tt0102713,10035412,15030,74787599,0,74787599
tt0430105,21176925,128190,74494381,18000000,92494381
tt0110322,101670,138272,66502573,94000000,160502573
tt1276104,20801552,514490,66486205,103980200,170466405
tt1588173,20353967,212738,66380662,48740946,115121608
tt0257360,282367,119232,65005217,42049267,107054484
tt1821658,19405000,25310,64251538,58278428,122529966
tt0231775,20027309,20981,64172251,7000000,71172251
tt0112431,8742545,112060,63658910,182441090,246100000
tt1535438,14650121,39324,63536011,69549284,133085295
tt0800039,17725330,253457,63172463,42000579,105173042
tt0390022,20269025,55967,61255921,694849,61950770
tt0097481,16096808,18955,60857262,35000000,95857262
tt0871426,17407110,40314,60494212,3676235,64170447
tt0119313,14210464,23396,60110313,21418687,81529000
tt0901476,21058173,96896,58715510,56434914,115150424
tt0364751,13528946,42812,58156435,6964845,65121280
tt1605783,599003,365682,56816662,105686112,162502774
tt4555426,175006,150825,56443120,94388966,150832086
tt0312004,16025987,119676,56068547,141524605,197593152
tt0431308,6481221,194541,53695808,102073870,155769678
tt0121164,385078,230837,53359111,61411543,114770654
tt5619332,17886075,28954,53059911,12700000,65759911
tt0892318,13540486,88124,53032453,29116085,82148538
tt0221027,12443461,230420,52990775,30291521,83282296
tt0139462,18852976,34303,52880016,66000000,118880016
tt1798684,16701294,206989,52421953,41734503,94156456
tt0098382,17375648,53391,52210049,17989951,70200000
tt2406566,18286420,162747,51573925,46771498,98345423
tt0308506,12179420,17963,51432423,11000000,62432423
tt0110622,13216531,92124,51132598,0,51132598
tt0783233,796836,235812,50980159,78799569,129779728
tt0090264,13294435,82996,50327960,102300000,152627960
tt0376105,13920052,15187,49772522,40183018,89955540
tt3397884,401288,345778,46889293,37504456,84393749
tt0096933,9677102,47086,45892212,88000000,133892212
tt0093058,2217307,636222,46357676,0,46357676
tt1259528,15206108,78881,44947622,35199544,80147166
tt0383010,17010125,29012,44338224,9714025,54052249
tt0382918,19575608,43,43746923,90200000,133946923
tt2911666,14415922,496158,43037835,33168404,76206239
tt0385726,13594734,40992,42647449,151611,42799060
tt1655441,13203458,145284,42629776,26354760,68984536
tt1193631,15812311,54059,42400223,123488894,165889117
tt1127180,15825480,181476,42100625,49287862,91388487
tt7371706,14743614,22,42073277,28616691,70689968
tt0327137,12139832,49739,42070939,5831627,47902566
tt0420223,13411093,211723,40435190,13137632,53572822
tt0993842,12370549,183372,40259119,25084575,65343694
tt0300532,14169455,29051,40118420,11500000,51618420
tt0389722,15951902,158914,39568996,40707160,80276156
tt0091419,3659884,61263,38982260,0,38982260
tt0421206,14414630,45111,38432823,3025011,41457834
tt0095631,5506290,68006,38413606,43200000,81613606
tt1073498,18505530,99055,38233676,46413155,84646831
tt0093894,8117465,134903,38122105,0,38122105
tt2404311,14034764,105516,36918811,14159730,51078541
tt6802308,12554286,24984,36276286,19819914,56096200
tt0119707,16771694,44429,35927406,15400000,51327406
tt1583420,13096065,60544,35608245,25840890,61449135
tt1939659,16101552,128692,35266619,47142901,82409520
tt8623904,11441055,27101,35150750,86262879,121413629
tt0446046,12051277,24172,34742066,30648427,65390493
tt1137450,13010267,56527,34017028,14558937,48575965
tt1674771,10283250,73419,32363404,14075134,46438538
tt0161083,13049114,14384,32267774,6194297,38462071
tt2053463,9303145,172791,32172757,34569381,66742138
tt0472033,10740446,128497,31749894,16810105,48559999
tt2377322,9740471,66252,30577122,57379496,87956618
tt2473602,13585915,19553,30569935,2769933,33339868
tt4209788,2349967,118192,28780744,24515680,53296424
tt1195478,10610060,90093,28700285,32923534,61623819
tt1449283,7857076,20335,26692846,23452761,50145607
tt0118798,141816,24049,26528684,2674699,29203383
tt0329028,10845064,35983,26276465,12991050,39267515
tt4537896,8860431,21517,24004833,1943150,25947983
tt0114857,8309869,26791,24047675,0,24047675
tt0120776,6606455,10880,23337196,3371000,26708196
tt0881320,9447930,51893,23209310,85747788,108957098
tt0465624,8603460,60046,22530295,38242561,60772856
tt6245710,4730038,17,21858070,75032724,96890794
tt0339412,8679028,13506,21800302,26994,21827296
tt4463894,8901419,35753,21360215,0,21360215
tt1458175,6542779,173740,21148651,46107265,67255916
tt6421110,9959053,7706,20868638,840901,21709539
tt2072233,8344128,27150,20783704,9916328,30700032
tt0361841,7075217,16878,20422207,1336164,21758371
tt0398712,6502724,71672,20040895,16000000,36040895
tt2364841,7706712,59013,19316646,41196034,60512680
tt0120008,8046553,26095,19204929,0,19204929
tt4849438,10430497,69037,18985794,244517120,263502914
tt0370032,9064880,77476,18522064,12440048,30962112
tt0395972,6422455,37902,18324242,5352529,23676771
tt1438176,8114388,96417,18298649,22222000,40520649
tt5109784,7534673,173398,17800004,24731072,42531076
tt2080374,521522,143570,17766658,17812349,35579007
tt0271367,6485458,51006,17266505,19455806,36722311
tt0116320,5405855,8199,17192205,2700000,19892205
tt1602001,7385277,10,17010170,11532324,28542494
tt5160558,6957216,0,16930884,16024515,32955399
tt0327247,6685381,52433,16323969,10000000,26323969
tt0091225,5070136,40885,16295774,21667000,37962774
tt0482572,6262396,57832,15740721,27700000,43440721
tt0402901,6147294,33922,15007991,12140000,27147991
tt0335121,6800617,24342,14334645,2576063,16910708
tt0318283,6111074,12680,14208384,1150199,15358583
tt0324554,5467281,51055,13001257,8575819,21577076
tt0402399,20000,80250,12712093,13472307,26184400
tt0765447,3501971,12716,12406646,478928,12885574
tt1549920,6281433,129109,12050299,36280458,48330757
tt0120710,4593872,11926,12017369,0,12017369
tt0131646,5114365,15830,11578059,0,11578059
tt4513674,359289,65609,11103205,33256307,44359512
tt0218817,5486209,27817,10965209,6900000,17865209
tt2101341,5345250,62278,10895295,8704679,19599974
tt1098327,4756488,67710,9362785,48865675,58228460
tt0361620,4002067,20279,9055010,1364074,10419084
tt0350261,1008308,27897,8535575,10000000,18535575
tt3922818,3775596,44396,7885294,8596111,16481405
tt7456310,3600647,39069,7743794,23174297,30918091
tt1054606,334183,140996,7689607,56663000,64352607
tt0280380,3210765,22049,7073251,6341165,13414416
tt6017942,3035618,11647,5718096,4665428,10383524
tt0087843,2412014,290909,5321508,254140,5575648
tt3881784,1611040,36394,4211129,4575158,8786287
tt0120683,2143089,5177,4167493,800000,4967493
tt4154916,2375325,25866,4046429,4990998,9037427
tt0443680,147812,161149,3909149,11404482,15313631
tt0379889,69868,33664,3765585,15000000,18765585
tt0403016,1330520,4289,3102550,150000,3252550
tt0482546,9653,27085,3005605,32885652,35891257
tt1586752,45130,61248,538690,3183298,3721988
tt2231253,.,48598,3200,4312589,4315789
tt2814362,918,3878,918,167914,168832
tt0064552,.,164,.,53048539,53048539
tt2095649,.,17327,.,25199891,27515247
tt1935194,4797,11324,7793,9642759,9650552
tt0438859,.,11300,.,2717302,6317170
tt0265651,.,16561,.,.,6200970
tt2126235,1512824,13981,2280004,3186694,5466698
tt2848292,69216890,135698,184296230,103329238,287625468
tt0358273,22347341,222350,119519402,68188093,187707495
tt6781982,27257615,29587,77339130,25774316,103113446
tt2702724,23586645,40937,63077560,15574647,78652207
tt0114746,178730,552756,57141459,111700000,168841459
tt0285823,23424118,148866,56330657,41082870,97413527
tt0171433,8078671,48548,37036404,8300000,45336404
tt5439796,7600036,115584,27778642,16485629,44264271
tt4136084,6601313,47694,27383770,28616569,56000339
tt7545266,.,1739,.,.,.
tt0870111,180708,98657,18622031,9830914,28452945
tt0387575,8774520,36754,17016190,7700000,24716190
tt0261289,5758236,16237,16930185,3215965,20146150
tt0270288,87199,80184,16007718,17006087,33013805
