movie_id,prd_company
tt1631867,"Warner Bros., Village Roadshow Productions, RatPac Entertainment, Dune Entertainment"
tt4154664,Marvel Studios
tt3040964,"Baloo Productions, Jungle Book Films, Walt Disney Pictures"
tt2096673,Disney-Pixar
tt2250912,"Marvel Studios, Columbia Pictures, LStar Capital"
tt1386697,"Warner Bros., RatPac Entertainment, Dune Entertainment, Atlas Entertainment"
tt1049413,"Walt Disney Pictures, Disney-Pixar"
tt2380307,"Disney-Pixar, Walt Disney Pictures"
tt5848272,"Walt Disney Pictures, Walt Disney Animation Studios"
tt0892782,DreamWorks Animation
tt3606752,"Disney-Pixar, Walt Disney Pictures"
tt1046173,"di Bonaventura Pictures, Paramount Pictures, Spyglass Entertainment, Hasbro Studios"
tt0120891,"Peters Entertainment, Sonnenfeld-Joseph"
tt0859163,"Universal Pictures, Relativity Media, Sommers Company, Alphaville"
tt0413099,"Relativity Media, Spyglass Entertainment"
tt0114898,Universal Pictures
tt6673612,"Team Downey, Universal Pictures, Perfect World Pictures, Roth Kirschenbaum Films"
tt1972591,"Weed Road Pictures, Warner Bros., Village Roadshow Productions, RatPac Entertainment, Dune Entertainment, Safehouse Pictures"
tt1335975,"Relativity Media, Bluegrass Films"
tt4881806,"Universal Pictures, Amblin Entertainment, The Kennedy/Marshall Company, Legendary Pictures, Perfect World Pictures"
tt2015381,Marvel Studios
tt1228705,"Paramount Pictures, Marvel Studios, Fairview Entertainment"
tt1843866,Marvel Studios
tt2103281,"Chernin Entertainment, TSG Entertainment, Ingenious Media"
tt0338348,"Playtone, ImageMovers, Golden Mean, Castle Rock Entertainment, Shangri-La Entertainment"
tt1735898,Roth Films
tt0181852,"Intermedia, C2 Pictures"
tt0338526,Sommers Company
tt3861390,"Walt Disney Pictures, Tim Burton, Infinite Detective, Secret Machine Entertainment"
tt3741700,"Warner Bros., Legendary Pictures, Toho Co, Huahua Film"
tt1964418,A113 
tt0437086,"20th Century Fox, Lightstorm Entertainment, Troublemaker Studios"
tt2567026,"Walt Disney Pictures, Roth Films, Team Todd, Tim Burton"
tt0892791,DreamWorks Animation
tt1211837,Marvel Studios
tt2245084,Walt Disney Animation Studios
tt0892769,DreamWorks Animation
tt1772341,Walt Disney Animation Studios
tt0816692,"Syncopy, Lynda Obst Productions"
tt1628841,20th Century Fox
tt2771200,"Walt Disney Pictures, Mandeville Films"
tt6320628,"Columbia Pictures, Marvel Studios, Pascal Pictures"
tt1477834,"Warner Bros., DC Films, RatPac Entertainment, The Safran Company, Cruel and Unusual Films, Mad Ghost Productions"
tt0413267,"DreamWorks Animation, PDI"
tt1375666,"Warner Bros., Legendary Pictures, Syncopy"
tt1951266,"Lionsgate, Color Force"
tt0831387,Legendary Pictures
tt1270798,"Marvel Studios, Dune Entertainment, Bad Hat Harry Productions, Donnersâ? Company, Ingenious Media, Big Screen Prods"
tt0421715,"Paramount Pictures, The Kennedy/Marshall Company"
tt0963966,"Walt Disney Pictures, Jerry Bruckheimer, Saturn Films, Broken Road"
tt0409182,"Virtual Studios, Irwin Allen Productions"
tt0803096,"Universal Pictures, Legendary Pictures, Blizzard Entertainment, Atlas Entertainment"
tt1302006,"TriBeCa Productions, Sikelia Productions"
tt1860357,"Participant Media, di Bonaventura Pictures, Summit Entertainment, Closest to the Hole, Leverage"
tt1340138,"Skydance Productions, Paramount Pictures"
tt2557478,"Legendary Pictures, UpperRoom Entertainment Limited, Double Dare You, Universal Pictures"
tt0346491,"Intermedia Film, Moritz Borman, IMF"
tt3450958,"20th Century Fox, Chernin Entertainment"
tt0213149,"Touchstone Pictures, Jerry Bruckheimer"
tt0418279,"DreamWorks Pictures, Paramount Pictures, Hasbro Studios, di Bonaventura Pictures"
tt4520988,Walt Disney Animation Studios
tt0451279,"Warner Bros., Atlas Entertainment, Cruel and Unusual Films, RatPac Entertainment, Dune Entertainment, Tencent Pictures , Wanda Pictures"
tt2294629,Walt Disney Animation Studios
tt2948356,"Walt Disney Pictures, Walt Disney Animation Studios"
tt0373889,Heyday Films
tt0330373,"Warner Bros., Heyday Films"
tt0234215,"Warner Bros., Village Roadshow Productions, NPV Entertainment, Silver Pictures"
tt0480249,"Village Roadshow Productions, Weed Road Pictures, Overbrook Entertainment"
tt3521164,"Walt Disney Animation Studios, Walt Disney Pictures"
tt0448157,"Columbia Pictures, Relativity Media, Blue Light, Weed Road Pictures, Overbrook Entertainment"
tt0372784,Legendary Pictures
tt0367594,"Village Roadshow Productions, Warner Bros., Zancuk Company, Plan B Entertainment"
tt0382932,"Walt Disney Pictures, Disney-Pixar"
tt1981115,"Marvel Studios, Kevin Feige"
tt2381249,"Bad Robot, Skydance Productions, Tom Cruise Productions, Paramount Pictures"
tt5013056,"Warner Bros., Syncopy, RatPac Entertainment, Dune Entertainment"
tt0800369,Marvel Studios
tt0479952,DreamWorks Animation
tt0458525,"20th Century Fox, Marvel Studios, Dune Entertainment, Donnersâ? Company, Seed Productions"
tt1078912,"Twentieth Century Fox, 1492 Pictures"
tt1302011,DreamWorks Animation
tt1392190,Kennedy Miller Mitchell Productions
tt5884052,"Warner Bros., Legendary Pictures, Toho Co"
tt0242653,EON Enterprises
tt1677720,"Warner Bros., Village Roadshow Productions, Amblin Entertainment, Dune Entertainment, De Line Pictures, Access Entertainment"
tt0371606,Walt Disney Animation Studios
tt0317919,Cruise-Wagner
tt0808151,"Columbia Pictures, Imagine Entertainment, Brian Grazer Productions, John Calley"
tt0332452,"Radiant Productions, Plan B Entertainment"
tt0938283,"Paramount Pictures, Nickelodeon Films, Blinding Edge Pictures, The Kennedy/Marshall Company"
tt0389790,"DreamWorks Animation, Columbus 81 Productions"
tt0436339,"Jerry Bruckheimer, Walt Disney Pictures"
tt0397892,"Walt Disney Pictures, Walt Disney Animation Studios"
tt1646987,"Warner Bros., Legendary Pictures, Furia de Titanes II, A.I.E, Thunder Road Film, Cott Productions    "
tt0442933,"Paramount Pictures, Shangri-La Entertainment, ImageMovers"
tt1077368,"Warner Bros., Village Roadshow Productions, Infinitum Nihil, GK Films, Zancuk Company"
tt2334879,"Columbia Pictures, Mythology Entertainment, Centropolis Entertainment"
tt0780653,"Universal Pictures, Relativity Media, Stuber Pictures"
tt2034800,"Legendary Pictures, Universal Pictures, Atlas Entertainment"
tt3332064,"Warner Bros., Berlanti Productions, RatPac Entertainment, Dune Entertainment"
tt1305591,"Walt Disney Pictures, ImageMovers"
tt6304710,Centropolis Entertainment
tt0424095,"DreamWorks Pictures, DreamWorks Animation, Aardman Animations"
tt1277953,"DreamWorks Animation, PDI"
tt1229238,"Paramount Pictures, Skydance Productions, Tom Cruise Productions, Bad Robot"
tt1646971,DreamWorks Animation
tt0120855,"Walt Disney Animation Studios, Bonnie Arnold"
tt0864835,"Bullwinkle Studios, DreamWorks Animation, PDI"
tt1446192,"DreamWorks Animation, Christina Steinberg"
tt0318649,"Paramount Pictures, Bristol Bay Productions, Baldwin Entertainment Group, J.K. Livin Productions, Kanzaman Prods"
tt1289401,"Columbia Pictures, Village Roadshow Productions, Ivan Reitman Production"
tt0246460,"Eon Productions, Metro-Goldwyn-Mayer Pictures"
tt0796366,Bad Robot
tt0120591,"Touchstone Pictures, Jerry Bruckheimer, Valhalla Motion Pictures"
tt0458339,"Paramount Pictures, Marvel Studios"
tt2267968,"DreamWorks Animation, Oriental DreamWorks, China Film Co. LTD, Zhong Ming You Ying Film"
tt0122151,Silver Pictures
tt1583421,"Paramount Pictures, Metro-Goldwyn-Mayer Pictures, Skydance Productions, Hasbro Studios, di Bonaventura Pictures"
tt0325710,"Radar Pictures, The Bedford Falls Company, Cruise-Wagner"
tt0369441,"Columbia Pictures, Imagine Entertainment, Brian Grazer Productions, JC 23 Entertainment, Bart/Palevsky"
tt1528100,"Chernin Entertainment, Scott Free Films"
tt3691740,"Walden Media, Walt Disney Pictures, Amblin Entertainment, Reliance Entertainment, The Kennedy/Marshall Company"
tt1025100,"Paramount Pictures, Skydance Productions, Jerry Bruckheimer Films, Fosun Pictures, Jerry Bruckheimer"
tt2404233,"Summit Entertainment, Thunder Road Film, Mystery Clock Cinema"
tt1745960,"Jerry Bruckheimer Films, Skydance Productions, Tencent Pictures , Don Simpson, TC Productions"
tt0145487,"2012, Mike McKone, "
tt0409459,"Legendary Pictures, Lawrence Gordon, Lloyd Levin"
tt0382992,Columbia Pictures
tt0800080,"Universal Pictures, Marvel Studios, Valhalla Motion Pictures"
tt0286716,"Universal Pictures, Marvel Studios, Valhalla Motion Pictures, Good Machine"
tt0173840,Square Pictures
tt1673434,"Temple Hill Entertainment, Summit Entertainment, Sunswept Entertainment"
tt0481499,DreamWorks Animation
tt1663202,"RatPac Entertainment, Anonymous Content, M. Productions, Appian Way, Regency Enterprises, New Regency"
tt0143145,"Eon Productions, Metro-Goldwyn-Mayer Pictures"
tt1192628,"Paramount Pictures, Nickelodeon Films, BlindWink, GK Films"
tt0311113,"20th Century Fox, Miramax Films, Universal Pictures, Samuel Goldwyn Films"
tt1860353,"DreamWorks Animation, Lisa Stewart"
tt3949660,"Paramount Pictures, Nickelodeon Films"
tt1402488,VR Mumble 2 Productions Pty Ltd.
tt0430357,Universal Pictures
tt5523010,"Walt Disney Pictures, The Mark Gordon Company"
tt0407304,"Paramount Pictures, DreamWorks Pictures, Amblin Entertainment, Cruise-Wagner"
tt1911658,"DreamWorks Animation, PDI"
tt1951264,"Lionsgate, Color Force"
tt0304141,"Warner Bros., Heyday Films, 1492 Pictures"
tt0440963,"The Kennedy/Marshall Company, Ludlum Entertainment"
tt5095030,Marvel Studios
tt0441773,DreamWorks Animation
tt0478970,"Marvel Studios, Walt Disney Pictures"
tt2224026,DreamWorks Animation
tt5028340,"Walt Disney Pictures, Lucamar, Marc Platt Productions"
tt0448694,"Paramount Pictures, DreamWorks Animation"
tt1001526,"DreamWorks Animation, PDI"
tt0172156,Columbia Pictures
tt2357291,"20th Century Fox Animation, Blue Sky Studios"
tt0944835,"Columbia Pictures, Relativity Media, di Bonaventura Pictures"
tt1959490,"Protozoa Pictures, Paramount Pictures, Regency Enterprises"
tt0983193,"Paramount Pictures, Columbia Pictures, Amblin Entertainment, Wingnut Films, The Kennedy/Marshall Company"
tt1815862,"Columbia Pictures, Overbrook Entertainment, Blinding Edge Pictures"
tt0455824,"Twentieth Century Fox, Bazmark Film 2 Pty Ltd"
tt0790736,"Universal Pictures, Original Film, Dark Horse Entertainment"
tt2386490,"DreamWorks Animation, Dentsu Inc., Fuji Television Network"
tt1324999,"Temple Hill Entertainment, Sunswept Entertainment, Summit Entertainment"
tt0130623,Walt Disney Pictures
tt3315342,"Marvel Studios, TSG Entertainment, Donnersâ? Company"
tt2692250,"21 Laps Entertainment, 1492 Pictures"
tt1951265,"Lionsgate, Color Force"
tt0241527,"Heyday Films, 1492 Pictures, Duncan Henderson Productions"
tt7975244,"7 Bucks Productions, Matt Tolmach Productions, Columbia Pictures, Hartbeat Productions, Detective Agency"
tt0382625,"Columbia Pictures, Imagine Entertainment, Brian Grazer Productions, John Calley"
tt1596343,"Universal Pictures, Original Film, One Race Films"
tt1291150,.
tt1515091,"Warner Bros., Village Roadshow Productions, Silver Pictures, Wigram Productions"
tt0319262,"Centropolis Entertainment, Lionsgate, The Mark Gordon Company"
tt3874544,DreamWorks Animation
tt0800320,"Legendary Pictures, Warner Bros., Thunder Road Film, Zancuk Company"
tt1679335,"DreamWorks Animation, PDI, DreamWorks Pictures"
tt0120685,"Centropolis Entertainment, Fried Films, Independent Pictures."
tt1446714,"20th Century Fox, Dune Entertainment, Scott Free Films, Brandywine"
tt1194173,"Universal Pictures, Relativity Media, The Kennedy/Marshall Company"
tt0118688,Warner Bros.
tt5758778,"Legendary Pictures, Seven Bucks Productions, Flynn Picture Company, Universal Pictures"
tt1386703,Carolco Pictures
tt2094766,"Regency Enterprises, Ubisoft Entertainment, New Regency, DMC Film, The Kennedy/Marshall Company"
tt3095734,"Paramount Pictures, Nickelodeon Films, Disruption Pictures"
tt0120657,Touchstone Pictures
tt7504726,"20th Century Studios, TSG Entertainment, 3 Arts Entertainment"
tt0170016,"Universal Pictures, Imagine Entertainment, Brian Grazer Productions"
tt0177971,"Baltimore Spring Creek Pictures, Radiant Productions"
tt4196776,"Universal Pictures, Perfect World Pictures, The Kennedy/Marshall Company, Captivate Entertainment, Pearl Street"
