movie_id,release_date,genre,country,language
tt4777008,18-Oct-19,"Adventure, Family, Fantasy","USA, UK",english
tt1856101,06-Oct-17,"Action, Drama, Mystery, Sci-Fi, Thriller","USA, UK, Hungary, Canada, Spain",english
tt6450804,01-Nov-19,"Action, Adventure, Sci-Fi","USA, Spain, Hungary, China",english
tt6139732,24-May-19,"Adventure, Family, Fantasy, Musical, Romance",USA,english
tt3501632,03-Nov-17,"Action, Adventure, Comedy, Fantasy, Sci-Fi",USA,english
tt1587310,30-May-14,"Action, Adventure, Family, Fantasy, Romance",USA,english
tt3183660,18-Nov-16,"Adventure, Family, Fantasy","UK, USA",english
tt0910970,27-Jun-08,"Animation, Adventure, Family, Sci-Fi",USA,english
tt0293564,10-Aug-07,"Action, Comedy, Crime, Thriller","USA, Germany","cantonese, english, french, japanese"
tt0918940,01-Jul-16,"Action, Adventure, Drama, Fantasy, Romance","UK, Canada, USA",english
tt0970179,23-Nov-11,"Drama, Family, Fantasy, Mystery","UK, USA, France",english
tt2239822,21-Jul-17,"Action, Adventure, Fantasy, Sci-Fi","France, China, Belgium, Germany, United Arab Emirates, USA",english
tt1617661,06-Feb-15,"Action, Adventure, Sci-Fi","USA, Australia",english
tt4912910,27-Jul-18,"Action, Adventure, Thriller","USA, China, France, Norway, UK",english
tt3385516,27-May-16,"Action, Adventure, Sci-Fi",USA,english
tt4779682,10-Aug-18,"Action, Horror, Sci-Fi, Thriller","USA, China",english
tt1631867,06-Jun-14,"Action, Sci-Fi","USA, Canada",english
tt4154664,08-Mar-19,"Action, Adventure, Sci-Fi","USA, Australia",english
tt3040964,15-Apr-16,"Adventure, Drama, Family, Fantasy","UK, USA",english
tt2096673,19-Jun-15,"Animation, Adventure, Comedy, Drama, Family, Fantasy",USA,english
tt2250912,07-Jul-17,"Action, Adventure, Sci-Fi",USA,english
tt1386697,05-Aug-16,"Action, Adventure, Fantasy, Sci-Fi",USA,english
tt1049413,29-May-09,"Animation, Adventure, Comedy, Family",USA,english
tt2380307,22-Nov-17,"Animation, Adventure, Family, Fantasy, Music, Mystery",USA,english
tt5848272,21-Nov-18,"Animation, Adventure, Comedy, Family, Fantasy",USA,english
tt0892782,27-Mar-09,"Animation, Action, Comedy, Family, Sci-Fi, Thriller",USA,english
tt3606752,16-Jun-17,"Animation, Adventure, Comedy, Family, Sport",USA,english
tt1046173,07-Aug-09,"Action, Adventure, Sci-Fi, Thriller","USA, Czech Republic",english
tt0120891,30-Jun-99,"Action, Comedy, Sci-Fi, Western",USA,english
tt0859163,01-Aug-08,"Action, Fantasy, Horror, Thriller","USA, Germany, China, Canada",english
tt0413099,22-Jun-07,"Comedy, Family, Fantasy",USA,english
tt0114898,28-Jul-95,"Action, Adventure, Sci-Fi, Thriller",USA,english
tt6673612,17-Jan-20,"Action, Adventure, Comedy, Family, Fantasy","USA, China, UK",english
tt1972591,12-May-17,"Action, Adventure, Drama, Fantasy","UK, USA",english
tt1335975,25-Dec-13,"Action, Drama, Fantasy","USA, UK, Japan, Hungary","english, japanese"
tt4881806,22-Jun-18,"Action, Adventure, Sci-Fi",USA,english
tt2015381,01-Aug-14,"Action, Adventure, Comedy, Sci-Fi",USA,english
tt1228705,07-May-10,"Action, Adventure, Sci-Fi",USA,english
tt1843866,04-Apr-14,"Action, Adventure, Sci-Fi",USA,"english, french, german"
tt2103281,11-Jul-14,"Action, Adventure, Drama, Sci-Fi","USA, UK, Canada",english
tt0338348,10-Nov-04,"Animation, Adventure, Comedy, Family, Fantasy, Musical",USA,english
tt1735898,01-Jun-12,"Action, Adventure, Drama, Fantasy, Romance, Thriller","USA, UK",english
tt0181852,02-Jul-03,"Action, Sci-Fi","USA, Germany, UK",English
tt0338526,07-May-04,"Action, Adventure, Fantasy","USA, Czech Republic, Romania",english
tt3861390,29-Mar-19,"Adventure, Family, Fantasy","USA, UK, Australia, Canada",english
tt3741700,31-May-19,"Action, Adventure, Fantasy, Sci-Fi","USA, Japan, Canada, Mexico",english
tt1964418,22-May-15,"Action, Adventure, Family, Fantasy, Mystery, Sci-Fi","USA, Spain, France, UK",english
tt0437086,14-Feb-19,"Action, Adventure, Sci-Fi, Thriller",USA,english
tt2567026,27-May-16,"Adventure, Family, Fantasy","USA, UK",english
tt0892791,21-May-10,"Animation, Adventure, Comedy, Family, Fantasy, Romance",USA,english
tt1211837,04-Nov-16,"Action, Adventure, Fantasy, Sci-Fi",USA,english
tt2245084,07-Nov-14,"Animation, Action, Adventure, Family, Sci-Fi",USA,english
tt0892769,26-Mar-10,"Animation, Action, Adventure, Family, Fantasy",USA,english
tt1772341,02-Nov-12,"Animation, Adventure, Comedy, Family, Fantasy",USA,english
tt0816692,07-Nov-14,"Adventure, Drama, Sci-Fi","USA, UK, Canada",english
tt1628841,24-Jun-16,"Action, Adventure, Sci-Fi",USA,english
tt2771200,17-Mar-17,"Family, Fantasy, Musical, Romance",USA,english
tt6320628,02-Jul-19,"Action, Adventure, Sci-Fi",USA,english
tt1477834,21-Dec-18,"Action, Adventure, Fantasy, Sci-Fi","USA, Australia",english
tt0413267,18-May-07,"Animation, Adventure, Comedy, Family, Fantasy",USA,english
tt1375666,16-Jul-10,"Action, Adventure, Sci-Fi, Thriller","USA, UK","english, french, japanese"
tt1951266,20-Nov-15,"Action, Adventure, Sci-Fi, Thriller",USA,english
tt0831387,16-May-14,"Action, Adventure, Sci-Fi, Thriller","USA, Japan",english
tt1270798,03-Jun-11,"Action, Adventure, Sci-Fi","USA, UK",english
tt0421715,25-Dec-08,"Drama, Fantasy, Romance",USA,english
tt0963966,14-Jul-10,"Action, Adventure, Family, Fantasy",USA,english
tt0409182,12-May-06,"Action, Adventure, Drama, Thriller",USA,"English, Spanish"
tt0803096,10-Jun-16,"Action, Adventure, Fantasy","China, Canada, Japan, USA",english
tt1302006,27-Nov-19,"Biography, Crime, Drama",USA,english
tt1860357,30-Sep-16,"Action, Drama, History, Thriller","Hong Kong, USA",english
tt1340138,01-Jul-15,"Action, Adventure, Sci-Fi",USA,english
tt2557478,23-Mar-18,"Action, Adventure, Sci-Fi","UK, China, Japan, USA",english
tt0346491,24-Nov-04,"Action, Biography, Drama, History, War","USA, UK, Germany, Netherlands, France, Italy, Morocco, Thailand",english
tt3450958,14-Jul-17,"Action, Adventure, Drama, Sci-Fi, Thriller","USA, Canada, New Zealand",english
tt0213149,25-May-01,"Action, Drama, History, Romance, War",USA,"english, japanese"
tt0418279,03-Jul-07,"Action, Adventure, Sci-Fi",USA,english
tt4520988,22-Nov-19,"Animation, Adventure, Comedy, Family, Fantasy, Musical",USA,english
tt0451279,02-Jun-17,"Action, Adventure, Fantasy, Sci-Fi, War","USA, China, Hong Kong",english
tt2294629,27-Nov-13,"Animation, Adventure, Comedy, Family, Fantasy, Musical",USA,english
tt2948356,04-Mar-16,"Animation, Adventure, Comedy, Crime, Family, Mystery",USA,english
tt0373889,11-Jul-07,"Action, Adventure, Family, Fantasy, Mystery","UK, USA",english
tt0330373,18-Nov-05,"Adventure, Family, Fantasy, Mystery","UK, USA",english
tt0234215,15-May-03,"Action, Sci-Fi",USA,english
tt0480249,14-Dec-07,"Adventure, Drama, Sci-Fi, Thriller",USA,english
tt3521164,23-Nov-16,"Animation, Adventure, Comedy, Family, Fantasy, Musical",USA,english
tt0448157,02-Jul-08,"Action, Fantasy",USA,english
tt0372784,15-Jun-05,"Action, Adventure, Fantasy, Thriller","USA, UK",english
tt0367594,15-Jul-05,"Adventure, Comedy, Family, Fantasy, Musical","UK, USA",english
tt0382932,29-Jun-07,"Animation, Adventure, Comedy, Drama, Family, Fantasy",USA,english
tt1981115,08-Nov-13,"Action, Adventure, Fantasy",USA,english
tt2381249,31-Jul-15,"Action, Adventure, Thriller","USA, China, Hong Kong, Austria",english
