movie_id,reviews_users,reviews_critics
tt2381991,210,282
tt0245562,459,157
tt1320261,131,186
tt3411444,137,136
tt5463162,1285,521
tt1454468,2066,777
tt0477347,470,172
tt2126355,605,397
tt0472181,166,182
tt0337978,821,369
tt0349903,665,211
tt0120347,370,100
tt0187393,1177,201
tt1253863,571,380
tt0338751,830,264
tt1355644,1145,418
tt0990407,471,450
tt1935859,425,321
tt0433035,470,335
tt2283336,1002,261
tt0429493,394,324
tt2017020,72,130
tt1111422,331,279
tt1731141,622,339
tt0299172,101,101
tt0120179,277,86
tt0320661,1000,225
tt1219827,1012,444
tt0327437,198,182
tt0120737,5315,334
tt0312528,572,115
tt0248667,385,174
tt3659388,1274,619
tt3640424,300,309
tt0343818,833,218
tt0164912,193,102
tt0780521,241,240
tt0443649,592,256
tt3416828,128,146
tt0141907,93,62
tt4649466,687,358
tt0187078,518,132
tt0172495,2589,204
tt1620680,884,268
tt1152836,621,360
tt0381061,2380,347
tt0181689,1365,257
tt4701182,1279,235
tt1371111,959,520
tt0295297,912,238
tt0103064,1229,291
tt0112462,603,182
tt0133152,1374,244
tt0368891,733,183
tt1853728,1461,834
tt8579674,2429,442
tt0970866,168,180
tt0111503,392,95
tt0765429,496,318
tt0844471,176,191
tt1386588,382,276
tt0339291,623,182
tt0993846,1373,640
tt0848537,130,213
tt0116213,146,75
tt0116583,274,87
tt0120917,323,140
tt1764651,503,401
tt0386117,415,343
tt0449010,1719,184
tt1267297,296,262
tt1243957,436,329
tt0146675,536,171
tt5814534,165,102
tt0327162,425,174
tt0423294,130,160
tt0450259,718,174
tt6924650,773,163
tt1219342,175,187
tt0120201,1113,199
tt0457400,276,155
tt0316396,489,160
tt6428676,169,81
tt0327554,717,131
tt2333784,390,341
tt0133240,248,131
tt0947810,277,268
tt1981128,670,153
tt2058673,253,191
tt5697572,1622,210
tt1390411,263,320
tt2209764,544,372
tt0362165,266,52
tt1571234,987,218
tt0180052,180,63
tt3089630,.,.
tt2452042,189,239
tt3513498,395,225
tt4532826,1064,176
tt0209163,915,214
tt0217505,1213,236
tt2316204,2022,579
tt1661199,436,373
tt1667889,147,235
tt0265086,1144,217
tt1261945,326,223
