,title,prd_company
117,The Nutty Professor,Imagine Entertainment
118,George of the Jungle,"Walt Disney Pictures, Mandeville Films, Jay Ward Productions, The Kerner Entertainment Company"
119,American Wedding,"LivePlanet, Zide/Perry Productions"
120,Disclosure,.
121,Tango & Cash,.
122,Shanghai Noon,"Touchstone Pictures, Spyglass Entertainment"
123,The Making of 'Alien 3',.
124,Evita,.
125,The Ghost and the Darkness,Paramount Pictures
126,The Hunted,Lakeshore Entertainment
127,Instinct,"Touchstone Pictures, Spyglass Entertainment, plot summary"
128,Stuck on You,Conundrum Entertainment
129,Chain Reaction,The Zanuck Company
130,Gods and Generals,Ted Turner Pictures
131,Turbulence,"Rysher Entertainment, Metro-Goldwyn-Mayer"
132,All the King's Men,.
133,Un long dimanche de fian챌ailles: le making-of,.
134,Lolita 2000,.
135,Eye See You,"Universal Pictures, Imagine Entertainment"
136,The Godfather: Part III,"Paramount Pictures, Zoetrope Studios"
137,Elizabethtown,"Cruise/Wagner Productions, Vinyl Films"
138,Anastasia,Fox Animation Studios
139,Beloved,.
140,Patch Adams,"Blue Wolf, Bungalow 78 Productions, Farrell/Minoff"
141,How to Lose a Guy in 10 Days,Paramount Pictures
142,Payback,Icon Productions
143,'V for Vendetta' Unmasked,.
144,Herbie Fully Loaded,"Walt Disney Pictures, Robert Simonds Productions"
145,Shanghai Knights,"Touchstone Pictures, Spyglass Entertainment"
146,Resident Evil: Apocalypse,"Constantin Film, Impact Pictures, Screen Gems"
147,The Game,Propaganda Films
148,Silent Hill,"Davis Films, Konami"
149,Rambo: Last Blood,"Millennium Media, Balboa Productions"
150,Out of Time,.
151,The Beach,.
152,On Deadly Ground,"Seagal/Nasso Productions, Warner Bros"
153,For Love of the Game,"Beacon Pictures, Renaissance Pictures, Tig Productions"
154,Striptease,Castle Rock Entertainment
155,The Story of Us,Castle Rock Entertainment
156,Escape from L.A.,Rysher Entertainment
157,The Iron Giant,Warner Bros. Feature Animation
158,Man of the House,Revolution Studios
159,The Life of David Gale,"Intermedia Films, Dirty Hands, Saturn Films"
160,Baby's Day Out,Hughes Entertainment
161,Mad City,Arnold Kopelson Productions
162,The Scarlet Letter,"Hollywood Pictures, Cinergi Pictures, Lightmotive, Allied Stars, "
163,Domino,.
164,Jade,.
165,Death to Smoochy,Film4 Productions
166,The Big Bounce,Shangri-La Entertainment
167,What Planet Are You From?,"Brillstein-Grey Entertainment, Columbia Pictures"
168,The One,.
169,Traffic,.
170,Panic Room,.
171,The Thomas Crown Affair,"United Artists, Irish DreamTime"
172,K-PAX,"Intermedia, Lawrence Gordon Productions"
173,Riding in Cars with Boys,"Columbia Pictures, Gracie Films"
174,Mary Reilly,.
175,Star Trek: First Contact,.
176,Scary Movie 3,.
177,Scary Movie 2,.
178,Underworld: Evolution,Lakeshore Entertainment
179,Jack,.
180,The Specialist,.
181,The Hitchhiker's Guide to the Galaxy,"Touchstone Pictures, Spyglass Entertainment, Hammer & Tongs, Everyman Pictures"
182,Resident Evil: Extinction,"Screen Gems, Constantin Film, Impact Pictures"
183,The River Wild,.
184,Last Holiday,ImageMovers
185,The Indian in the Cupboard,"Paramount Pictures, Columbia Pictures, The Kennedy/Marshall Company, Scholastic Productions"
186,Dune,.
187,Richard Jewell,"Malpaso Productions, Appian Way Productions"
188,The Glimmer Man,.
189,The Phantom,"The Ladd Company, Village Roadshow Pictures"
190,Rebound,"Robert Simonds Productions, Runteldat Entertainment"
191,All the Pretty Horses,Miramax Films
192,Deep Rising,"Hollywood Pictures, Cinergi Pictures"
193,Love in the Time of Cholera,Stone Village Pictures
194,Pinocchio,"Enrico Mazzanti, Walt Disney"
195,Shadow Conspiracy,"Cinergi Pictures, Hollywood Pictures"
196,The Juror,.
197,Heaven's Gate,Partisan Productions
198,Boomerang,.
199,Cleopatra,.
200,The Mirror Has Two Faces,"Phoenix Pictures, Barwood Films"
201,The Mothman Prophecies,Lakeshore Entertainment
202,Licence to Kill,"Eon Productions, United Artists"
203,Hero,.
204,McHale's Navy,The Bubble Factory
205,Au four et au moulin: les coulisses de Micmacs 횪 Tire-Larigot,.
206,8 Mile,Image Entertainment
207,The Medallion,Emperor Multimedia Group
208,Double Jeopardy,.
209,A League of Their Own,.
210,Scary Movie 4,.
211,Scream 3,"Konrad Pictures, Craven/Maddalena Films"
212,The Last of the Mohicans,.
213,Spawn,Dippe Goldman Williams
214,Medicine Man,"Hollywood Pictures, Cinergi Pictures"
215,Fever Pitch,.
216,Ri짖hie Ri짖h,"Silver Pictures, Davis Entertainment, The Harvey Entertainment Company, Warner Bros. Family Entertainment"
217,8MM,Global Entertainment Productions
218,Hanging Up,.
