votes
"445,400"
"370,075"
"123,584"
"98,141"
"261,654"
"37,271"
"375,973"
"152,457"
"157,578"
"155,291"
"133,104"
"29,417"
"194,891"
"126,652"
"1,052,732"
"106,644"
"60,748"
"335,884"
"84,537"
"233,985"
"209,281"
"201,042"
"170,261"
"264,029"
"19,507"
"135,242"
"280,547"
"80,490"
"68,441"
"148,436"
"400,008"
"28,972"
"78,113"
"54,229"
"158,773"
"89,911"
"70,031"
"60,652"
"171,408"
"67,772"
"99,413"
284519
"66,781"
"115,292"
"98,368"
"26,575"
"140,461"
"88,603"
"93,910"
"165,317"
"115,453"
"112,883"
"202,188"
"22,978"
"10,316"
"51,890"
"63,244"
"89,895"
"102,819"
"31,071"
"41,318"
"58,433"
5
"30,257"
"66,029"
"53,623"
"72,468"
"18,389"
"15,351"
"881,465"
41
"74,257"
"801,615"
"84,893"
"237,527"
"74,847"
"161,103"
"32,367"
"52,299"
0
"113,043"
"354,921"
"239,718"
"441,574"
"18,696"
"173,142"
"507,689"
"42,325"
"123,309"
"102,071"
"358,837"
"243,947"
"345,762"
"217,217"
"159,335"
"551,162"
"348,124"
"300,428"
"312,398"
"115,592"
"569,487"
"65,757"
"61,392"
"43,382"
"156,266"
"381,260"
"289,343"
"93,678"
"56,381"
"102,881"
"42,975"
"17,463"
"65,641"
"202,929"
"83,982"
"251,005"
"109,273"
"92,555"
"75,650"
"63,446"
"34,684"
"64,458"
"222,882"
"103,929"
"146,725"
"34,888"
"57,250"
"50,386"
"50,019"
"25,332"
"16,175"
"1,781"
0
"201,804"
"45,586"
"370,337"
"159,846"
"74,976"
"73,153"
"95,715"
"298,859"
"70,024"
"111,297"
"114,164"
"40,108"
"919,037"
"166,966"
"38,271"
"50,726"
"13,924"
"233,437"
"88,107"
"325,572"
"397,189"
"344,601"
"41,007"
"155,189"
"173,678"
"89,112"
"168,894"
"114,043"
"1,182,336"
"221,624"
"322,747"
"133,700"
"55,769"
"315,308"
"239,063"
"192,008"
"246,095"
"169,692"
"140,476"
"124,876"
"120,329"
"52,548"
"67,240"
"398,147"
"50,452"
"141,459"
"20,630"
"170,248"
"84,678"
"155,855"
"50,161"
"50,775"
"66,090"
"244,341"
"71,290"
"118,774"
"79,899"
"56,790"
"47,339"
"43,701"
"102,157"
"58,200"
"218,654"
"120,106"
"31,004"
"49,486"
"24,905"
"51,240"
"143,280"
"18,607"
"30,694"
"49,835"
"35,952"
0
"479,718"
"94,344"
"150,976"
"217,548"
"99,015"
"174,194"
"116,016"
"116,108"
"37,372"
"86,234"
"60,023"
"153,074"
"89,245"
"204,839"
"145,229"
"51,471"
"33,249"
"102,983"
336
"157,752"
"1,162,169"
"184,860"
"234,637"
"419,075"
"253,702"
"1,577,467"
"48,377"
"295,121"
"47,511"
"287,102"
"183,250"
"136,240"
"220,042"
"311,965"
"254,982"
"286,060"
"160,866"
"70,652"
"32,323"
"114,485"
"51,153"
"87,643"
"75,530"
"38,890"
"74,268"
"258,659"
"283,476"
"170,405"
"199,691"
"159,768"
"71,195"
"54,935"
330
"128,160"
"13,393"
"26,534"
"1,748,300"
"191,803"
"69,665"
"53,669"
"87,342"
"31,919"
"84,445"
"31,559"
"76,375"
"49,869"
0
"145,953"
"49,128"
"9,563"
"29,857"
"3,006"
"47,842"
"19,148"
"225,739"
"814,682"
"188,904"
"29,714"
"63,127"
"43,327"
"84,581"
"74,029"
"49,282"
"475,807"
"48,853"
"42,464"
"797,912"
"151,552"
"209,014"
202
"99,883"
"11,741"
"7,703"
"243,687"
"313,143"
893
"111,175"
"140,615"
"1,067,412"
"871,299"
"217,488"
"487,219"
"98,195"
"227,904"
"330,009"
"60,780"
"50,649"
"111,825"
"342,555"
"54,190"
"101,227"
"141,994"
"125,789"
"276,981"
"134,646"
"74,695"
"52,089"
"81,783"
"292,877"
"315,758"
"99,571"
"206,096"
"108,523"
"37,505"
"184,755"
"53,543"
"118,667"
"27,789"
"189,612"
"135,586"
"42,813"
