movie_id,prd_mthd
tt0337978,live action
tt0349903,live action
tt0120347,live action
tt0187393,live action
tt1253863,animation/live action
tt0338751,live action
tt1355644,live action
tt0990407,live action
tt1935859,animation/live action
tt0433035,live action
tt2283336,animation/live action
tt0429493,live action
tt2017020,animation/live action
tt1111422,live action
tt1731141,live action
tt0299172,hand animation
tt0120179,live action
tt0320661,live action
tt1219827,live action
tt0327437,live action
tt0120737,animation/live action
tt0312528,live action
tt0248667,live action
tt3659388,live action
tt3640424,live action
tt0343818,animation/live action
tt0164912,live action
tt0780521,hand animation
tt0443649,live action
tt3416828,digital animation
tt0141907,live action
tt4649466,live action
tt0187078,live action
tt0172495,live action
tt1620680,live action
tt1152836,live action
tt0381061,live action
tt0181689,live action
tt4701182,animation/live action
tt1371111,live action
tt0295297,animation/live action
tt0103064,animation/live action
tt0112462,live action
tt0133152,.
tt0368891,live action
tt1853728,live action
tt8579674,live action
tt0970866,live action
tt0111503,live action
tt0765429,live action
tt0844471,digital animation
tt1386588,live action
tt0339291,live action
tt0993846,live action
tt0848537,digital animation
tt0116213,live action
tt0116583,hand animation
tt0120917,hand animation
tt1764651,live action
tt0386117,live action
tt0449010,animation/live action
tt1267297,live action
tt1243957,live action
tt0146675,live action
tt5814534,Digital Animation
tt0327162,live action
tt0423294,digital animation
tt0450259,live action
tt6924650,live action
tt1219342,digital animation
tt0120201,animation/live action
tt0457400,live action
tt0316396,live action
tt6428676,digital animation
tt0327554,live action
tt2333784,live action
tt0133240,hand animation
tt0947810,live action
tt1981128,live action
tt2058673,live action
tt5697572,Live Action
tt1390411,live action
tt2209764,live action
tt0362165,live action
tt1571234,live action
tt0180052,live action
tt3089630,live action
tt2452042,digital animation
tt3513498,digital animation
tt4532826,live action
tt0209163,live action
tt0217505,live action
tt2316204,live action
tt1661199,live action
tt1667889,digital animation
tt0265086,live action
tt1261945,live action
tt0814255,live action
tt1790886,live action
tt0477080,live action
tt0119116,live action
tt0138749,hand animation
tt0380510,live action
tt2638144,live action
tt1121096,live action
tt0266543,digital animation
tt0167260,animation/live action
tt0167261,animation/live action
tt0146316,live action
