prd_company,num_movies,com_dom_bo,com_wrld_bo
Don Murphy,2,647550946,1940573771
Tom DeSanto,2,647550946,1940573771
NPV Entertainment,5,641119275,1530143484
Tom Cruise Productions,5,639730779,1968654503
Fuji Television Network,18,634652116,1941497752
Mad Chance,12,632323793,1190477651
BBC Films,151,630155438,1753443753
DMG Entertainment,9,624771531,1754301084
A Band Apart,9,607790772,1485237887
Atomic Monster,16,602441306,1736194167
Troublemaker Studios,11,600283124,1371465183
Lawrence Gordon,9,596369735,1142909474
Joint Effort,5,593678548,1593594646
Red Wagon Entertainment,8,592747124,1213097997
Cube Vision,8,590237799,687520633
Reliance BIG Entertainment,14,584336381,1168625825
Media Rights Capital,13,580236863,1457114591
Gracie Films,7,574925763,1145275610
Team Todd,9,570179906,991325568
Closest to the Hole,11,567778053,858583611
Tyler Perry Studios,11,566109847,594121779
DC Films,3,564086102,1802839849
Mutual Film Company,5,560484182,1192779027
FilmNation Entertainment,54,554658056,1247406791
Jerry Weintraub,6,549401626,1219383152
Broken Road,12,548166999,1115171321
Nu Image,18,535583036,1521635080
Robert Simonds Company,7,533966250,818504289
Good Universe,15,532850614,865972183
Morgan Creek Productions,10,531118944,938175174
Di Novi Pictures,12,530457978,830125497
Entertainment One,58,526798834,1075792472
Phoenix Pictures,17,526092393,1479968171
Saturn Films,11,524753235,1177010808
UK Film Council,71,524112124,1717568179
Maverick Films,3,522364166,1137610548
Cross Creek Pictures,22,521931372,1443848233
Sony Pictures,21,517049935,1011858602
Laurence Mark,7,510849614,973707076
MARV Films,14,508975133,1446324011
The Mark Gordon Company,13,503601298,1428223025
Montecito Picture Company,15,494456516,900314516
Rogue Pictures,17,489302777,961548424
Valhalla Motion Pictures,5,487720737,1093526058
Newmarket Films,4,478862407,795497576
Image Nation Abu Dhabi,16,475587858,909473247
CBS Films,20,474207071,820511042
Image Nation,11,473309751,1380111234
Lord Miller,4,472245852,876699376
Beacon Pictures,10,470664253,866434673
Smart Entertainment,4,467780755,909231281
Constantin Film,23,467715018,1820998105
David Brown,4,465896331,788887301
3 Arts Entertainment,13,462329651,884645415
Wigram Productions,4,459047991,1251494357
Wendy Fineman Productions,2,454891598,1005923792
Dreamworks LLC,3,453238496,924463558
Stage 6 Films,26,452431060,845491616
Hemisphere Media Capital,3,452398349,1534275658
Hartbeat Productions,12,451155968,1068224850
M6 Films,13,444035404,1244523069
Cine Plus,97,439929082,1660943149
Leverage,12,438052286,663026102
Jon Peters,3,434308866,844086176
STX Entertainment,15,433669642,727330888
Mark Johnson,2,433332447,1137880860
Animal Logic,9,428191278,994586515
Birnbaum/Barber,5,425522703,916754397
Anonymous Content,36,425305807,1087134808
Open Road Films,21,422062115,737406191
Monkeypaw Pictures,5,420992438,625676761
Grive Productions,6,414232430,894192917
Tapestry Films,7,414226042,571169500
Wanda Pictures,1,412563408,821133378
Eddie Murphy Production,3,405499640,724280938
Waverly Films,5,403485573,930942894
Solana Films,6,401360355,890417130
Rainforest Films,5,400393818,462105405
2.0 Entertainment,4,393034174,913342963
Junction Entertainment,2,392966503,788649214
Tig Productions,4,387510797,934023590
Contrafilm,9,381207362,897101065
STX Films,13,379538664,535508047
Radar Pictures,19,378549701,1047010999
87Eleven Inc.,6,374798711,713149928
Trigger Street Productions,8,374332570,996333807
Radiant Productions,3,374137787,900293475
Brownstone,7,371996159,659963961
Ghost House Pictures,7,371562061,669355295
Tim Burton,7,370227774,1092194480
HBO Films,12,369323308,872509908
Pariah Productions,12,369182502,772511520
TF1 Film Productions,29,368616343,1784359327
7 Bucks Productions,3,366769609,957003027
Tall Trees,5,365632413,711395772
Douglas Wick,3,365096320,810892716
Olive Bridge Entertainment,6,363987257,760204377
China Film Company,8,359059989,2751706519
Seed Productions,3,358821837,828649315
KatzSmith Productions,2,358037277,745233267
K/O Paper Products,5,357337072,987733286
Initial Entertainment Group,7,353069902,760022235
John Calley,2,350911984,1258696305
22nd & Indiana,1,350126372,547326372
Huayi Brothers Pictures Ltd,12,349346114,763686433
Affirm Films,12,349118026,391935374
IM Global,44,344718979,725224708
Apatow Productions,9,343589627,455078285
Kerner Entertainment Company,5,341637932,1253861140
Lego Systems A/S,3,340838447,623528255
Wonderland Sound and Vision,12,339697891,768722628
Mad Ghost Productions,3,335061807,1146894640
Reuben Cannon Productions,7,334770632,336321378
Aardman Animations,8,332685255,1070488359
Cannell Studios,2,330167004,534146305
Steve Tisch Productions,1,330151138,679850637
Beaglepug,3,327794414,884080177
American Zoetrope,13,326189927,688814236
Bonnie Arnold,2,326111159,791589066
Jack Giarraputo,2,324971441,418832929
Maximum Effect,1,324591735,786680557
Wild West Picture Show,5,321078245,542486905
Lucamar,3,319637775,619659058
